year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-3748,unlock,16,Kingdom of North weiminxia,7,Wheel,17
-3488,unlock,70,Kingdom of Old calmixchitan,104,Fishing Technology,14
-3486,unlock,70,Kingdom of Old calmixchitan,115,Counting Tokens and Tallies,15
-3470,unlock,0,North shavarvarnagar Tribe,103,Bone and Antler Tools,17
-3450,unlock,70,Kingdom of Old calmixchitan,103,Bone and Antler Tools,16
-3314,unlock,70,Kingdom of Old calmixchitan,117,Proto-writing and Administrative Notation,17
-3302,unlock,16,Kingdom of North weiminxia,104,Fishing Technology,18
-3293,unlock,70,Kingdom of Old calmixchitan,108,Watercraft,18
-3290,unlock,48,Tanofimaa Tribe,103,Bone and Antler Tools,11
-3196,unlock,40,Terlingrad Tribe,10,Irrigation,19
-3193,unlock,8,Kingdom of Old dravarvar,104,Fishing Technology,17
-3185,unlock,54,South ngotanbarara Tribe,103,Bone and Antler Tools,14
-3185,unlock,70,Kingdom of Old calmixchitan,5,Sailing,19
-3180,unlock,16,Kingdom of North weiminxia,117,Proto-writing and Administrative Notation,19
-3160,unlock,40,Terlingrad Tribe,7,Wheel,20
-3155,unlock,49,Kingdom of Great lamchibar,7,Wheel,18
-3155,unlock,51,Great zuchi Tribe,103,Bone and Antler Tools,14
-3154,unlock,0,North shavarvarnagar Tribe,7,Wheel,18
-3134,unlock,16,Kingdom of North weiminxia,103,Bone and Antler Tools,20
-3128,unlock,54,South ngotanbarara Tribe,104,Fishing Technology,15
-3101,unlock,49,Kingdom of Great lamchibar,117,Proto-writing and Administrative Notation,19
-3095,unlock,4,Kingdom of Old surshasur,7,Wheel,17
-3084,unlock,16,Kingdom of North weiminxia,108,Watercraft,21
-3081,unlock,73,New teotempan Tribe,115,Counting Tokens and Tallies,14
-3080,unlock,43,Kingdom of Old linzenzenia,103,Bone and Antler Tools,19
-3074,unlock,72,Great nahtemcal Tribe,10,Irrigation,14
-3070,unlock,51,Great zuchi Tribe,110,Dog Domestication,15
-3068,unlock,42,New linranqui Tribe,12,Shipbuilding,19
-3068,unlock,70,Kingdom of Old calmixchitan,114,Enclosures and Herd Management,20
-3064,unlock,2,South tanvinagar Tribe,103,Bone and Antler Tools,17
-3058,unlock,70,Kingdom of Old calmixchitan,12,Shipbuilding,21
-3054,unlock,6,North shashadesh Tribe,104,Fishing Technology,17
