year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8012386.000000,0.000000,0.999462,0.000018,0.000010,0.000000,0.000820,0.025851,0.000003,0.000004,0.723286,0.669556,0.036575,0.039552,0.062458,0.056448,0.039552|0.294282|0.527187|0.101236|0.037826|0.000000,0.202311,0.196189,0.115098,0.127443,1.000000,1.000000,0.872557,49756.000000,200882.800000,0.038166,159.000000,666.400000,0.044481,0.856050,0.720960,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.264962,0.776990,0.495461,0.735038,73577.374472,46378.157095,292822.469267,0.000000,0.000000,0.000000,92335.687068
-4950,9790014.000000,0.004016,0.929830,0.002280,0.000005,0.000000,0.000000,0.027997,0.000134,0.000201,0.808265,0.463411,0.085459,0.580422,0.105033,0.081779,0.022157|0.333689|0.526474|0.112798|0.043712|0.000000,0.213017,0.296829,0.102366,0.128649,0.807830,0.966418,0.871351,56308.000000,223995.200000,0.054916,162.000000,599.000000,0.042769,0.974200,0.702820,0,180.548584,0.000049,0.373925,73,0,0,4,0,32,0.291087,0.574045,0.530802,0.708913,199.713329,5166.067382,27963.763038,0.000000,0.000000,0.000000,6157242.450430
-4900,11072579.000000,0.002465,0.927741,0.002483,0.000007,0.000000,0.001689,0.026782,0.000239,0.000411,0.653302,0.369709,0.070240,0.643464,0.119805,0.090373,0.018634|0.345395|0.515180|0.108546|0.045705|0.000000,0.207019,0.352794,0.102515,0.129036,0.796906,0.963059,0.870964,62461.500000,281985.900000,0.061006,164.500000,589.000000,0.042373,0.916100,0.638210,0,493.100739,0.000110,0.356211,107,0,0,4,0,30,0.279027,0.566189,0.484329,0.720973,186.386875,5659.565679,31755.224021,0.000000,0.000000,0.000000,13068721.029965
-4850,12246689.000000,0.002018,0.937912,0.002280,0.000007,0.000000,0.000000,0.027286,0.000281,0.000663,0.492450,0.349924,0.058570,0.401355,0.138564,0.097338,0.015691|0.354919|0.510918|0.105969|0.047549|0.000000,0.208885,0.386168,0.102508,0.127683,0.767364,0.998358,0.872317,62646.000000,301906.500000,0.068793,164.500000,569.000000,0.042358,0.897900,0.650100,0,651.601807,0.000120,0.256643,93,0,0,2,0,37,0.279374,0.565511,0.433002,0.720626,301.999973,6316.644056,34372.856323,0.000000,0.000000,0.000000,20343442.657484
-4800,13359949.000000,0.001742,0.964130,0.001161,0.000006,0.000000,0.000000,0.029006,0.000302,0.000927,0.542490,0.365993,0.032757,0.266168,0.149236,0.094585,0.013303|0.365432|0.506022|0.106518|0.050027|0.000000,0.223123,0.401177,0.107936,0.129754,0.860319,1.000000,0.870246,53281.000000,314481.000000,0.076575,158.000000,409.000000,0.042324,0.905900,0.711200,0,1472.609253,0.000277,0.342229,116,0,0,40,0,29,0.282237,0.570992,0.439161,0.717763,461.321162,5678.747075,29475.801157,0.000000,0.000000,0.000000,28690847.806532
-4750,14616500.000000,0.001799,0.977751,0.000790,0.000005,0.000000,0.000744,0.030053,0.000366,0.001205,0.519341,0.390547,0.032448,0.245238,0.158448,0.092002,0.010670|0.373542|0.505870|0.106699|0.048131|0.000000,0.233223,0.412861,0.115217,0.133354,0.910513,1.000000,0.866645,56083.500000,352500.000000,0.083645,156.500000,409.000000,0.042299,0.884750,0.676130,0,2009.118408,0.000407,0.493096,111,0,0,18,0,43,0.284244,0.565629,0.430232,0.715756,611.164737,5777.779304,30555.856654,0.000000,0.000000,0.000000,35857787.804065
-4700,16048756.000000,0.001871,0.972437,0.001076,0.000004,0.000000,0.001567,0.030049,0.000410,0.001502,0.463418,0.391058,0.041269,0.276517,0.166367,0.089587,0.008457|0.380127|0.502022|0.107509|0.043287|0.000000,0.251763,0.411509,0.117594,0.134520,0.886013,1.000000,0.865480,53831.500000,380111.200000,0.090007,155.500000,409.000000,0.042254,0.889000,0.731100,0,1537.902100,0.000370,0.549237,128,0,0,12,0,43,0.285765,0.560576,0.414109,0.714235,498.725598,6098.986742,31490.287309,0.000000,0.000000,0.000000,43351301.088082
-4650,17617105.000000,0.001867,0.966582,0.001551,0.000005,0.000000,0.002477,0.030369,0.000460,0.001794,0.463948,0.388839,0.043679,0.386033,0.172939,0.088407,0.006894|0.381169|0.498030|0.108659|0.041505|0.000000,0.260289,0.412688,0.119560,0.136738,0.869233,1.000000,0.863262,60481.500000,411654.200000,0.091161,156.000000,409.000000,0.042176,0.902700,0.726090,0,2719.381592,0.000478,0.467842,145,0,0,0,0,31,0.288552,0.572248,0.414949,0.711448,482.829709,5226.831845,25999.021489,0.000000,0.000000,0.000000,50556921.239575
-4600,19200229.000000,0.001723,0.978452,0.000789,0.000005,0.000002,0.002336,0.031652,0.000485,0.002102,0.461457,0.393287,0.042359,0.252137,0.178949,0.087733,0.005854|0.377057|0.497662|0.111366|0.040328|0.000000,0.267125,0.418255,0.121981,0.138649,0.914373,1.000000,0.861352,52925.500000,435944.000000,0.089210,155.000000,408.800000,0.042036,0.893700,0.735260,0,4662.512695,0.000682,0.502504,148,0,1,9,0,33,0.291392,0.571002,0.413649,0.708608,723.734145,6949.550106,36864.064719,0.000000,0.000000,0.000000,58489143.282310
-4550,20789377.000000,0.001592,0.990959,0.000290,0.000004,0.000000,0.002188,0.032753,0.000534,0.002417,0.460042,0.392704,0.034554,0.217950,0.184509,0.091215,0.005120|0.372924|0.499710|0.114970|0.038989|0.000000,0.267608,0.433352,0.124190,0.140763,0.967202,1.000000,0.859237,51773.000000,481580.200000,0.085625,162.000000,398.800000,0.041700,0.898900,0.733600,0,3578.551025,0.000532,0.494046,156,0,0,5,0,31,0.295732,0.591310,0.412404,0.704268,1305.003047,6764.270359,35075.165364,0.000000,0.000000,0.000000,66735581.008734
