year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8050633.000000,0.000000,0.998753,0.000051,0.000009,0.000000,0.002020,0.025759,0.000003,0.000004,0.723142,0.672660,0.035895,0.025445,0.063694,0.058021,0.072023|0.315629|0.497969|0.076038|0.038432|0.000000,0.215578,0.279161,0.115811,0.127410,1.000000,1.000000,0.872591,56785.500000,177204.400000,0.038456,163.500000,547.300000,0.046279,0.855650,0.728750,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.264865,0.758827,0.495411,0.735135,2065.842931,77914.190767,92994.768999,0.000000,0.000000,0.000000,101205.963910
-4950,10208130.000000,0.004760,0.964093,0.000996,0.000005,0.000000,0.010531,0.028731,0.000148,0.000211,0.816935,0.514936,0.037607,0.218000,0.109694,0.082060,0.040186|0.345893|0.523265|0.075422|0.040007|0.000000,0.198454,0.377997,0.107694,0.128845,0.832348,1.000000,0.871155,64813.000000,253215.800000,0.044783,172.000000,540.200000,0.044857,0.978100,0.732100,0,35.476173,0.000005,1.912908,44,0,0,5,0,27,0.291832,0.460552,0.536518,0.708168,821.057960,45048.402010,58790.350070,0.000000,0.000000,0.000000,6413293.708556
-4900,11585196.000000,0.002534,0.965988,0.000889,0.000005,0.000000,0.008979,0.028396,0.000273,0.000448,0.713463,0.373049,0.029276,0.217008,0.125477,0.086385,0.030265|0.356688|0.518454|0.071025|0.040978|0.000000,0.185661,0.431590,0.105491,0.129869,0.842910,1.000000,0.870131,67900.000000,297324.000000,0.055552,182.000000,526.000000,0.044299,0.938000,0.654800,0,308.221985,0.000029,0.629747,17,0,0,8,0,5,0.285564,0.450065,0.499432,0.714436,900.618137,39229.035343,54754.402732,0.000000,0.000000,0.000000,15143692.026173
-4850,12974544.000000,0.002268,0.969700,0.000870,0.000005,0.000000,0.003527,0.029421,0.000328,0.000722,0.613739,0.357466,0.020993,0.255139,0.139182,0.084195,0.023807|0.360441|0.515259|0.071934|0.042217|0.000000,0.185675,0.463041,0.103699,0.128507,0.885309,1.000000,0.871493,69341.000000,345855.000000,0.063066,182.000000,526.000000,0.044161,0.910300,0.636300,0,53.504066,0.000006,0.405142,40,0,0,0,0,8,0.280250,0.446556,0.468213,0.719750,903.213196,31912.763284,49010.331112,0.000000,0.000000,0.000000,22489332.630872
-4800,14298836.000000,0.001946,0.974325,0.000914,0.000004,0.000000,0.000000,0.030470,0.000356,0.001005,0.464703,0.363043,0.019801,0.293147,0.152494,0.077735,0.019711|0.364457|0.514651|0.071431|0.044284|0.000000,0.189514,0.479841,0.106481,0.129100,0.914537,1.000000,0.870900,52203.000000,367453.400000,0.068857,172.000000,492.800000,0.044081,0.903600,0.662200,0,42.805439,0.000010,0.225393,57,0,0,28,0,5,0.279709,0.414851,0.418988,0.720291,1019.759387,35284.395268,54260.888729,0.000000,0.000000,0.000000,32453941.024039
-4750,15695596.000000,0.001866,0.970138,0.001020,0.000004,0.000000,0.004289,0.030988,0.000456,0.001293,0.518790,0.370735,0.028778,0.327468,0.163896,0.072006,0.017131|0.361420|0.519148|0.069648|0.045026|0.000000,0.198172,0.485581,0.109437,0.132052,0.903716,1.000000,0.867948,50108.000000,408038.800000,0.075459,168.000000,492.400000,0.044025,0.899500,0.653840,0,1475.170898,0.000155,0.199306,61,0,0,14,0,4,0.286096,0.388224,0.438541,0.713904,1089.398470,33465.659239,54051.546729,0.000000,0.000000,0.000000,41960319.336075
-4700,17160985.000000,0.001787,0.970737,0.000983,0.000004,0.000000,0.004460,0.031840,0.000479,0.001604,0.464730,0.370207,0.028973,0.289361,0.173276,0.067906,0.015212|0.354549|0.526686|0.067261|0.047183|0.000000,0.204663,0.491266,0.109793,0.134252,0.899189,1.000000,0.865748,49711.000000,423107.000000,0.081212,168.000000,492.400000,0.043959,0.891400,0.661380,0,2147.583984,0.000201,0.203034,50,0,0,0,0,14,0.286072,0.366757,0.413717,0.713928,1131.432127,38195.937846,60565.317414,0.000000,0.000000,0.000000,50385356.352363
-4650,18805649.000000,0.001832,0.968804,0.001411,0.000004,0.000000,0.003338,0.032409,0.000541,0.001958,0.461116,0.366033,0.027777,0.413605,0.183105,0.064929,0.013577|0.351383|0.529970|0.065282|0.049526|0.000000,0.205484,0.495375,0.111158,0.135315,0.890583,1.000000,0.864685,42066.000000,448049.600000,0.087247,168.000000,492.400000,0.043818,0.892600,0.646140,0,2320.716797,0.000223,0.203510,94,0,0,0,0,7,0.287360,0.319419,0.414459,0.712640,1124.803658,39384.242315,63292.257710,0.000000,0.000000,0.000000,59368913.336510
-4600,20372381.000000,0.001602,0.970762,0.001176,0.000004,0.000000,0.000000,0.033320,0.000558,0.002284,0.457314,0.360881,0.027408,0.398651,0.190856,0.063300,0.012381|0.341868|0.538619|0.064308|0.051720|0.000000,0.207502,0.501635,0.112856,0.137713,0.906481,1.000000,0.862287,46907.000000,504618.400000,0.093334,171.000000,492.200000,0.043610,0.890750,0.657570,0,2553.547119,0.000219,0.211363,88,0,0,1,0,13,0.290486,0.372671,0.413899,0.709514,1181.634464,32376.271801,58574.677569,0.000000,0.000000,0.000000,68947537.577120
-4550,22040941.000000,0.001576,0.969955,0.001211,0.000004,0.000000,0.003313,0.034310,0.000597,0.002597,0.458262,0.368623,0.030177,0.334770,0.197933,0.061447,0.011248|0.339511|0.544365|0.064453|0.048605|0.000000,0.209302,0.503992,0.115781,0.139814,0.916810,1.000000,0.860186,44418.000000,531971.000000,0.097082,170.000000,492.000000,0.043365,0.887600,0.662500,0,2514.606689,0.000212,0.259711,86,0,0,11,0,9,0.292795,0.370500,0.414955,0.707205,1328.108998,27239.456506,55771.469730,0.000000,0.000000,0.000000,80147749.489140
-4500,23866212.000000,0.001593,0.963412,0.001843,0.000004,0.000002,0.003692,0.034660,0.000627,0.002917,0.459670,0.369028,0.055227,0.415419,0.204168,0.060436,0.010219|0.338416|0.548318|0.065136|0.045504|0.000000,0.212872,0.503617,0.118250,0.143442,0.874425,1.000000,0.856558,44215.000000,529260.000000,0.097509,182.000000,492.000000,0.042935,0.894300,0.665400,0,2384.438965,0.000203,0.271158,93,0,1,0,0,14,0.296392,0.325802,0.416342,0.703608,1266.197576,27487.592745,57424.817149,0.000000,0.000000,0.000000,91129397.914539
-4450,25643417.000000,0.001437,0.967173,0.001506,0.000004,0.000002,0.003376,0.035949,0.000666,0.003255,0.460987,0.369747,0.031080,0.475922,0.208549,0.060773,0.009342|0.332338|0.558363|0.066601|0.040374|0.000000,0.213525,0.512563,0.120310,0.145367,0.906399,1.000000,0.854634,45183.000000,585855.100000,0.102717,186.000000,492.200000,0.042482,0.893900,0.667740,0,2615.648438,0.000216,0.260394,89,0,1,0,0,13,0.299851,0.326026,0.416904,0.700149,1347.567259,31208.452290,63675.840299,0.000000,0.000000,0.000000,102779523.976253
-4400,27445348.000000,0.001359,0.965072,0.001721,0.000005,0.000000,0.003585,0.036408,0.000702,0.003595,0.461886,0.372611,0.032624,0.469283,0.214109,0.060380,0.008602|0.318770|0.571582|0.068794|0.040195|0.000000,0.214134,0.524772,0.122051,0.147214,0.903400,1.000000,0.852785,48522.000000,679699.300000,0.108092,186.000000,492.200000,0.041952,0.894800,0.663140,0,2619.418213,0.000209,0.265753,108,0,0,0,0,20,0.302827,0.324637,0.417003,0.697173,1378.934529,6233.840507,40671.115732,0.000000,0.000000,0.000000,114422945.710268
-4350,29054753.000000,0.001140,0.966583,0.001539,0.000005,0.000000,0.004193,0.037267,0.000750,0.003930,0.461086,0.370345,0.035821,0.489703,0.217367,0.060267,0.007988|0.293469|0.591592|0.072252|0.041295|0.000000,0.217252,0.537798,0.124197,0.149526,0.904059,1.000000,0.850474,52967.000000,732210.300000,0.119379,192.000000,492.200000,0.041383,0.898150,0.675610,0,2560.345947,0.000224,0.246870,114,0,0,0,0,23,0.304686,0.324463,0.416331,0.695314,1469.124112,6559.434336,43269.307814,0.000000,0.000000,0.000000,125719929.319399
-4300,31239545.000000,0.001451,0.970932,0.001102,0.000005,0.000000,0.003533,0.038869,0.000823,0.004244,0.461515,0.372155,0.023775,0.418704,0.219782,0.059200,0.007280|0.277066|0.607989|0.075231|0.038554|0.000000,0.215428,0.558846,0.126879,0.151917,0.926405,1.000000,0.848083,46952.500000,846022.300000,0.121871,200.000000,492.200000,0.040752,0.894350,0.679860,0,2522.739014,0.000213,0.250824,82,0,0,0,0,37,0.307651,0.326851,0.416849,0.692349,1659.544916,6952.266565,47275.560371,0.000000,0.000000,0.000000,136865219.609494
-4250,34013984.000000,0.001703,0.962566,0.001251,0.000007,0.000000,0.003428,0.039920,0.000884,0.004601,0.461842,0.375357,0.028520,0.428173,0.222141,0.058189,0.006531|0.267623|0.618160|0.077682|0.035725|0.000000,0.209133,0.580161,0.129436,0.153944,0.892751,1.000000,0.846056,48574.500000,905398.100000,0.123047,200.000000,492.200000,0.040119,0.897950,0.685240,0,2659.405762,0.000225,0.246697,111,0,0,0,0,3,0.310150,0.326091,0.418107,0.689850,1932.093384,7085.408321,51356.503237,0.000000,0.000000,0.000000,148459189.109060
-4200,36664672.000000,0.001502,0.962906,0.001364,0.000004,0.000000,0.003841,0.041100,0.000903,0.004986,0.461510,0.379315,0.033783,0.398530,0.224444,0.057965,0.005923|0.248093|0.639073|0.081077|0.032838|0.000000,0.200577,0.608864,0.131544,0.156340,0.889206,1.000000,0.843660,56359.000000,922544.600000,0.136147,200.000000,492.200000,0.039439,0.896300,0.691140,0,2766.832275,0.000231,0.248924,100,0,0,0,0,16,0.313600,0.326249,0.418078,0.686400,2193.602805,7362.751815,55576.161711,0.000000,0.000000,0.000000,160684065.559761
-4150,39685554.000000,0.001585,0.962742,0.001419,0.000004,0.000000,0.003681,0.042992,0.000935,0.005355,0.461780,0.380721,0.037495,0.399128,0.226297,0.056392,0.005377|0.232093|0.658766|0.084807|0.026176|0.000000,0.193187,0.634375,0.134895,0.158705,0.905561,1.000000,0.841295,51563.500000,903872.500000,0.145610,200.000000,511.700000,0.038756,0.897350,0.694370,0,3132.515625,0.000226,0.257855,115,0,0,0,0,9,0.316100,0.326137,0.418583,0.683900,2471.450459,7705.305389,60465.988272,0.000000,0.000000,0.000000,173142524.701985
