year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-3869,unlock,41,North ranromnagrad Tribe,10,Irrigation,19
-3860,unlock,41,North ranromnagrad Tribe,103,Bone and Antler Tools,20
-3828,unlock,41,North ranromnagrad Tribe,7,Wheel,21
-3810,unlock,41,North ranromnagrad Tribe,115,Counting Tokens and Tallies,22
-3617,unlock,39,Old kinlorstan Tribe,115,Counting Tokens and Tallies,19
-3582,unlock,72,South mixtemnahpan Tribe,104,Fishing Technology,14
-3563,unlock,44,South lindusbelland Tribe,103,Bone and Antler Tools,19
-3526,unlock,72,South mixtemnahpan Tribe,110,Dog Domestication,15
-3520,unlock,39,Old kinlorstan Tribe,109,Long-distance Exchange Networks,20
-3461,unlock,39,Old kinlorstan Tribe,10,Irrigation,21
-3458,unlock,39,Old kinlorstan Tribe,7,Wheel,22
-3432,unlock,42,Viasoltergrad Tribe,103,Bone and Antler Tools,19
-3353,unlock,72,South mixtemnahpan Tribe,108,Watercraft,16
-3331,unlock,42,Viasoltergrad Tribe,109,Long-distance Exchange Networks,20
-3328,unlock,42,Viasoltergrad Tribe,12,Shipbuilding,21
-3322,unlock,19,New lilinweiling Tribe,103,Bone and Antler Tools,17
-3297,unlock,68,North chitol Tribe,104,Fishing Technology,14
-3280,unlock,72,Empire of North teocalmixan,5,Sailing,17
-3270,unlock,44,South lindusbelland Tribe,7,Wheel,20
-3260,unlock,49,Kingdom of South ofibara,7,Wheel,18
-3240,unlock,68,North chitol Tribe,115,Counting Tokens and Tallies,15
-3230,unlock,67,Old calnahpan Tribe,10,Irrigation,14
-3219,unlock,44,Kingdom of Dusquigrad,115,Counting Tokens and Tallies,21
-3217,unlock,67,Old calnahpan Tribe,115,Counting Tokens and Tallies,15
-3212,unlock,68,North chitol Tribe,110,Dog Domestication,16
-3197,unlock,68,North chitol Tribe,103,Bone and Antler Tools,17
-3197,unlock,72,Empire of North teocalmixan,103,Bone and Antler Tools,18
-3185,unlock,42,Viasoltergrad Tribe,10,Irrigation,22
-3183,unlock,74,Nahyucpan Tribe,103,Bone and Antler Tools,14
-3181,unlock,72,Empire of North teocalmixan,12,Shipbuilding,19
-3177,unlock,71,Kingdom of South itztolitzan,103,Bone and Antler Tools,14
-3175,unlock,68,North chitol Tribe,10,Irrigation,18
-3146,unlock,52,Great mangoene Tribe,104,Fishing Technology,14
-3140,unlock,49,Kingdom of South ofibara,103,Bone and Antler Tools,19
-3128,unlock,70,Kingdom of Old nahitzpan,103,Bone and Antler Tools,14
-3117,unlock,41,North ranromnagrad Tribe,12,Shipbuilding,23
-3117,unlock,42,Viasoltergrad Tribe,115,Counting Tokens and Tallies,23
-3114,unlock,72,Empire of North teocalmixan,10,Irrigation,20
-3108,unlock,54,Kingdom of North ngolamkaene,103,Bone and Antler Tools,14
-3098,unlock,43,Kingdom of Kinmar,103,Bone and Antler Tools,19
-3096,unlock,67,Old calnahpan Tribe,103,Bone and Antler Tools,16
-3076,unlock,68,North chitol Tribe,114,Enclosures and Herd Management,19
-3069,unlock,74,Nahyucpan Tribe,10,Irrigation,15
-3068,unlock,39,Old kinlorstan Tribe,103,Bone and Antler Tools,23
-3067,unlock,53,Great ngobarara Tribe,103,Bone and Antler Tools,14
-3065,unlock,39,Old kinlorstan Tribe,12,Shipbuilding,24
-3059,unlock,49,Kingdom of South ofibara,117,Proto-writing and Administrative Notation,20
-3051,unlock,51,Kingdom of North chitanara,10,Irrigation,14
-3045,unlock,51,Kingdom of North chitanara,104,Fishing Technology,15
-3041,unlock,72,Empire of North teocalmixan,114,Enclosures and Herd Management,21
-3040,unlock,43,Kingdom of Kinmar,7,Wheel,20
-3039,unlock,43,Kingdom of Kinmar,10,Irrigation,21
-3033,unlock,72,Empire of North teocalmixan,115,Counting Tokens and Tallies,22
-3021,unlock,43,Kingdom of Kinmar,115,Counting Tokens and Tallies,22
-2994,unlock,12,Kingdom of Old kandradesh,7,Wheel,17
-2989,unlock,74,Nahyucpan Tribe,114,Enclosures and Herd Management,16
-2977,unlock,71,Kingdom of South itztolitzan,110,Dog Domestication,15
-2971,unlock,43,Kingdom of Kinmar,12,Shipbuilding,23
-2969,unlock,44,Kingdom of Dusquigrad,10,Irrigation,22
-2968,unlock,51,Kingdom of North chitanara,115,Counting Tokens and Tallies,16
-2963,unlock,74,Nahyucpan Tribe,104,Fishing Technology,17
-2962,unlock,40,North ranmarland Tribe,109,Long-distance Exchange Networks,19
-2962,unlock,72,Empire of North teocalmixan,7,Wheel,23
-2954,unlock,40,North ranmarland Tribe,103,Bone and Antler Tools,20
-2947,unlock,109,New xiaqinqinshan Tribe,7,Wheel,17
-2937,unlock,52,Great mangoene Tribe,103,Bone and Antler Tools,15
-2935,unlock,12,Kingdom of Old kandradesh,10,Irrigation,18
-2935,unlock,74,Nahyucpan Tribe,110,Dog Domestication,18
-2934,unlock,53,Great ngobarara Tribe,104,Fishing Technology,15
-2933,unlock,51,Kingdom of North chitanara,103,Bone and Antler Tools,17
-2921,unlock,49,Kingdom of South ofibara,11,Writing,21
-2919,unlock,51,Kingdom of North chitanara,110,Dog Domestication,18
-2919,unlock,72,Empire of North teocalmixan,117,Proto-writing and Administrative Notation,24
-2904,unlock,54,Kingdom of North ngolamkaene,104,Fishing Technology,15
-2897,unlock,109,New xiaqinqinshan Tribe,103,Bone and Antler Tools,18
-2889,unlock,12,Kingdom of Old kandradesh,104,Fishing Technology,19
-2887,unlock,40,North ranmarland Tribe,10,Irrigation,21
-2886,unlock,67,Old calnahpan Tribe,110,Dog Domestication,17
-2881,unlock,19,New lilinweiling Tribe,10,Irrigation,18
-2859,unlock,74,Nahyucpan Tribe,115,Counting Tokens and Tallies,19
-2850,unlock,109,New xiaqinqinshan Tribe,104,Fishing Technology,19
-2843,unlock,44,Kingdom of Dusquigrad,17,Roads,23
-2842,unlock,19,New lilinweiling Tribe,104,Fishing Technology,19
-2837,unlock,19,New lilinweiling Tribe,7,Wheel,20
-2831,unlock,74,Nahyucpan Tribe,7,Wheel,20
-2825,unlock,68,North chitol Tribe,7,Wheel,20
-2803,unlock,70,Kingdom of Old nahitzpan,114,Enclosures and Herd Management,15
-2795,unlock,49,Kingdom of South ofibara,104,Fishing Technology,22
-2791,unlock,40,North ranmarland Tribe,7,Wheel,22
-2791,unlock,54,Kingdom of North ngolamkaene,114,Enclosures and Herd Management,16
-2789,unlock,73,Temteoco Tribe,10,Irrigation,14
-2771,unlock,54,Kingdom of North ngolamkaene,110,Dog Domestication,17
-2770,unlock,71,Kingdom of South itztolitzan,10,Irrigation,16
-2766,unlock,70,Kingdom of Old nahitzpan,104,Fishing Technology,16
-2765,unlock,49,Kingdom of South ofibara,17,Roads,23
-2764,unlock,71,Kingdom of South itztolitzan,104,Fishing Technology,17
-2762,unlock,41,North ranromnagrad Tribe,109,Long-distance Exchange Networks,24
-2758,unlock,44,Kingdom of Dusquigrad,117,Proto-writing and Administrative Notation,24
-2751,unlock,51,Kingdom of North chitanara,114,Enclosures and Herd Management,19
-2750,unlock,52,Great mangoene Tribe,110,Dog Domestication,16
-2738,unlock,72,Empire of North teocalmixan,118,Numeracy and Measurement,25
-2735,unlock,54,Kingdom of North ngolamkaene,115,Counting Tokens and Tallies,18
-2722,unlock,49,Kingdom of South ofibara,19,Alphabet,24
-2711,unlock,51,Kingdom of North chitanara,108,Watercraft,20
-2711,unlock,109,New xiaqinqinshan Tribe,10,Irrigation,20
-2709,unlock,12,Kingdom of Old kandradesh,17,Roads,20
-2709,unlock,70,Kingdom of Old nahitzpan,10,Irrigation,17
-2698,unlock,43,Kingdom of Kinmar,17,Roads,24
-2695,unlock,52,Great mangoene Tribe,10,Irrigation,17
-2695,unlock,73,Temteoco Tribe,104,Fishing Technology,15
-2693,unlock,12,Kingdom of Old kandradesh,108,Watercraft,21
-2690,unlock,67,Old calnahpan Tribe,114,Enclosures and Herd Management,18
-2687,unlock,19,New lilinweiling Tribe,108,Watercraft,21
-2684,unlock,68,Empire of Old yucmixtolpan,17,Roads,21
-2676,unlock,52,Great mangoene Tribe,115,Counting Tokens and Tallies,18
-2672,unlock,12,Kingdom of Old kandradesh,103,Bone and Antler Tools,22
-2672,unlock,53,Great ngobarara Tribe,108,Watercraft,16
-2664,unlock,53,Great ngobarara Tribe,10,Irrigation,17
-2662,unlock,70,Kingdom of Old nahitzpan,110,Dog Domestication,18
-2649,unlock,70,Kingdom of Old nahitzpan,115,Counting Tokens and Tallies,19
-2643,unlock,44,Kingdom of Dusquigrad,12,Shipbuilding,25
-2634,unlock,49,Kingdom of South ofibara,118,Numeracy and Measurement,25
-2626,unlock,109,New xiaqinqinshan Tribe,117,Proto-writing and Administrative Notation,21
-2622,unlock,42,Viasoltergrad Tribe,7,Wheel,24
