year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,19676137.000000,0.000000,1.000000,0.000000,0.001208,0.000000,0.002187,0.025541,0.000004,0.000004,0.706399,0.639529,0.027609,0.000000,0.086385,0.078634,0.011515|0.366315|0.528831|0.086061|0.007326|0.000000,0.308464,0.406658,0.108186,0.123562,1.000000,1.000000,0.876437,223888.000000,303173.500000,0.030372,392.000000,1108.900000,0.025721,0.813550,0.645320,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.254521,0.834202,0.676877,0.745479,140785.588567,166283.897290,974808.205288,0.000000,0.000000,0.000000,387533.588320
-4950,25473069.000000,0.005178,0.957598,0.001270,0.001162,0.000000,0.000000,0.023284,0.000189,0.000241,0.778282,0.420605,0.043794,0.004211,0.122950,0.102786,0.006085|0.368554|0.539472|0.091482|0.007551|0.000000,0.257824,0.520916,0.098423,0.127035,0.869828,1.000000,0.872965,229092.500000,474095.600000,0.039620,381.000000,1051.100000,0.025561,0.959950,0.699760,0,112.489578,0.000007,0.872989,49,0,0.000972,6,0,15,0.287063,0.576215,0.709047,0.712937,570.881574,31317.065632,172076.780856,0.000000,0.000000,0.000000,20683210.739336
-4900,29073743.000000,0.002648,0.951250,0.001565,0.001225,0.000000,0.000000,0.022876,0.000285,0.000535,0.592526,0.350194,0.017121,0.132420,0.140306,0.109807,0.004789|0.368333|0.541062|0.092210|0.006105|0.000000,0.254173,0.552872,0.099628,0.123058,0.885226,0.980287,0.876942,194936.000000,588617.700000,0.062498,344.000000,929.300000,0.025406,0.890450,0.614660,0,617.740417,0.000067,0.160345,61,0,0.000166,17,0,11,0.274085,0.551233,0.635487,0.725915,560.424834,24070.483622,126473.833075,0.000000,0.000000,0.000000,59158697.932490
-4850,32596384.000000,0.002290,0.966389,0.001011,0.001249,0.000000,0.000000,0.023707,0.000345,0.000842,0.459788,0.342355,0.007892,0.083218,0.155752,0.115086,0.003902|0.368215|0.543557|0.093336|0.005572|0.000000,0.260653,0.568481,0.100171,0.125407,0.883111,1.000000,0.874593,172520.500000,707136.500000,0.071807,342.000000,811.000000,0.025254,0.849700,0.623750,0,2192.761719,0.000118,0.268844,39,0,0.000000,4,0,8,0.275765,0.561181,0.582498,0.724235,1110.697040,25743.085562,135765.884432,0.000000,0.000000,0.000000,85583123.534029
-4800,36281849.000000,0.002145,0.984807,0.000480,0.001242,0.000000,0.000000,0.024732,0.000316,0.001152,0.462203,0.360935,0.005750,0.040939,0.165525,0.109807,0.003362|0.366615|0.545685|0.094819|0.004963|0.000000,0.263519,0.579312,0.111322,0.127563,0.940376,1.000000,0.872437,118250.500000,743650.500000,0.076779,294.000000,749.000000,0.025193,0.863300,0.690900,0,2764.109375,0.000140,0.824615,86,0,0.000000,75,0,18,0.276232,0.566693,0.584421,0.723768,1239.231180,23617.605637,112728.042673,0.000000,0.000000,0.000000,124558566.243171
-4750,40293190.000000,0.002099,0.988343,0.000580,0.001239,0.000000,0.000000,0.025381,0.000382,0.001476,0.462757,0.386818,0.007236,0.040712,0.174231,0.103460,0.002687|0.365266|0.546017|0.096540|0.004800|0.000000,0.263824,0.586012,0.114815,0.130330,0.954066,1.000000,0.869670,104971.000000,794258.000000,0.079909,286.000000,733.000000,0.025115,0.858600,0.733900,0,3236.016357,0.000188,0.712251,91,0,0.000000,23,0,13,0.283196,0.578022,0.585331,0.716804,1613.488665,26014.387263,126404.969885,0.000000,0.000000,0.000000,172861802.311981
-4700,44226383.000000,0.001865,0.981149,0.000435,0.001241,0.000000,0.000000,0.026467,0.000439,0.001816,0.453843,0.380028,0.020083,0.036368,0.181532,0.097282,0.002251|0.360087|0.549228|0.099581|0.004683|0.000000,0.262863,0.591986,0.116919,0.133608,0.905891,1.000000,0.866392,77627.000000,846524.000000,0.084485,278.000000,709.800000,0.025023,0.865700,0.714580,0,3218.029297,0.000198,0.689203,120,0,0.000286,14,0,28,0.285115,0.565870,0.583423,0.714885,1663.845462,31922.149324,164214.745173,0.000000,0.000000,0.000000,209779460.287437
-4650,49080139.000000,0.002085,0.978430,0.001053,0.001242,0.000000,0.001025,0.027228,0.000487,0.002197,0.449307,0.391466,0.011518,0.036374,0.187037,0.093462,0.002127|0.356518|0.551170|0.101840|0.004324|0.000000,0.271608,0.587509,0.119915,0.137232,0.908135,1.000000,0.862768,81701.000000,968762.200000,0.086869,262.000000,709.800000,0.024946,0.854400,0.721080,0,3409.691895,0.000200,0.635143,107,1,0.000120,7,0,13,0.289476,0.579541,0.582748,0.710524,1696.768069,28113.775899,138391.936561,0.000000,0.000000,0.000000,245771057.937642
-4600,54206055.000000,0.001989,0.986268,0.000408,0.001246,0.000000,0.000920,0.028476,0.000511,0.002562,0.452404,0.390288,0.007235,0.034048,0.192316,0.092339,0.001765|0.352028|0.553725|0.104605|0.004038|0.000000,0.279455,0.583084,0.121070,0.139157,0.947194,1.000000,0.860842,83147.000000,1058106.100000,0.091301,255.500000,657.900000,0.024765,0.855800,0.728480,0,3230.971924,0.000215,0.534296,112,0,0.000000,18,0,12,0.291196,0.590507,0.584650,0.708804,2958.747649,38388.663133,198527.016317,0.000000,0.000000,0.000000,286674475.146861
-4550,58935406.000000,0.001674,0.997114,0.000195,0.001246,0.000000,0.000000,0.029618,0.000529,0.002943,0.459321,0.393141,0.011092,0.016329,0.196866,0.093687,0.001745|0.343363|0.559188|0.108834|0.003659|0.000000,0.275054,0.587402,0.122949,0.141561,1.000000,1.000000,0.858439,75399.000000,1122886.500000,0.097304,222.500000,614.900000,0.024599,0.885700,0.748200,0,3344.389404,0.000203,0.621145,140,1,0.000000,41,0,39,0.295427,0.599451,0.589328,0.704573,4548.043898,35425.336807,178778.157622,0.000000,0.000000,0.000000,349865744.536917
