year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,Great tanradesh Tribe,100,Cordage and Knots,19
-5000,initial,0,Great tanradesh Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,Great tanradesh Tribe,102,Hafted Stone Tools,19
-5000,initial,0,Great tanradesh Tribe,105,Food Preservation,19
-5000,initial,0,Great tanradesh Tribe,106,Storage Pits and Containers,19
-5000,initial,0,Great tanradesh Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,Great tanradesh Tribe,110,Dog Domestication,19
-5000,initial,0,Great tanradesh Tribe,111,Grinding Stones,19
-5000,initial,0,Great tanradesh Tribe,112,Proto-cultivation,19
-5000,initial,0,Great tanradesh Tribe,113,Sedentism,19
-5000,initial,0,Great tanradesh Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,Great tanradesh Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,Great tanradesh Tribe,116,Charcoal Firing,19
-5000,initial,0,Great tanradesh Tribe,1,Pottery,19
-5000,initial,0,Great tanradesh Tribe,2,Animal Husbandry,19
-5000,initial,0,Great tanradesh Tribe,4,Mining,19
-5000,initial,0,Great tanradesh Tribe,20,Agriculture,19
-5000,initial,0,Great tanradesh Tribe,3,Archery,19
-5000,initial,0,Great tanradesh Tribe,6,Calendar,19
-5000,initial,1,Tansurnal Tribe,100,Cordage and Knots,19
-5000,initial,1,Tansurnal Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,Tansurnal Tribe,102,Hafted Stone Tools,19
-5000,initial,1,Tansurnal Tribe,105,Food Preservation,19
-5000,initial,1,Tansurnal Tribe,106,Storage Pits and Containers,19
-5000,initial,1,Tansurnal Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,Tansurnal Tribe,110,Dog Domestication,19
-5000,initial,1,Tansurnal Tribe,111,Grinding Stones,19
-5000,initial,1,Tansurnal Tribe,112,Proto-cultivation,19
-5000,initial,1,Tansurnal Tribe,113,Sedentism,19
-5000,initial,1,Tansurnal Tribe,114,Enclosures and Herd Management,19
-5000,initial,1,Tansurnal Tribe,115,Counting Tokens and Tallies,19
-5000,initial,1,Tansurnal Tribe,116,Charcoal Firing,19
-5000,initial,1,Tansurnal Tribe,1,Pottery,19
-5000,initial,1,Tansurnal Tribe,2,Animal Husbandry,19
-5000,initial,1,Tansurnal Tribe,4,Mining,19
-5000,initial,1,Tansurnal Tribe,20,Agriculture,19
-5000,initial,1,Tansurnal Tribe,3,Archery,19
-5000,initial,1,Tansurnal Tribe,6,Calendar,19
-5000,initial,2,North dravarpur Tribe,100,Cordage and Knots,19
-5000,initial,2,North dravarpur Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,2,North dravarpur Tribe,102,Hafted Stone Tools,19
-5000,initial,2,North dravarpur Tribe,105,Food Preservation,19
-5000,initial,2,North dravarpur Tribe,106,Storage Pits and Containers,19
-5000,initial,2,North dravarpur Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,2,North dravarpur Tribe,110,Dog Domestication,19
-5000,initial,2,North dravarpur Tribe,111,Grinding Stones,19
-5000,initial,2,North dravarpur Tribe,112,Proto-cultivation,19
-5000,initial,2,North dravarpur Tribe,113,Sedentism,19
-5000,initial,2,North dravarpur Tribe,114,Enclosures and Herd Management,19
-5000,initial,2,North dravarpur Tribe,115,Counting Tokens and Tallies,19
-5000,initial,2,North dravarpur Tribe,116,Charcoal Firing,19
-5000,initial,2,North dravarpur Tribe,1,Pottery,19
-5000,initial,2,North dravarpur Tribe,2,Animal Husbandry,19
-5000,initial,2,North dravarpur Tribe,4,Mining,19
-5000,initial,2,North dravarpur Tribe,20,Agriculture,19
-5000,initial,2,North dravarpur Tribe,3,Archery,19
-5000,initial,2,North dravarpur Tribe,6,Calendar,19
-5000,initial,3,New kanvivia Tribe,100,Cordage and Knots,19
-5000,initial,3,New kanvivia Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,3,New kanvivia Tribe,102,Hafted Stone Tools,19
-5000,initial,3,New kanvivia Tribe,105,Food Preservation,19
-5000,initial,3,New kanvivia Tribe,106,Storage Pits and Containers,19
-5000,initial,3,New kanvivia Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,3,New kanvivia Tribe,110,Dog Domestication,19
-5000,initial,3,New kanvivia Tribe,111,Grinding Stones,19
-5000,initial,3,New kanvivia Tribe,112,Proto-cultivation,19
-5000,initial,3,New kanvivia Tribe,113,Sedentism,19
-5000,initial,3,New kanvivia Tribe,114,Enclosures and Herd Management,19
-5000,initial,3,New kanvivia Tribe,115,Counting Tokens and Tallies,19
