year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,North surdranal Tribe,100,Cordage and Knots,19
-5000,initial,0,North surdranal Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,North surdranal Tribe,102,Hafted Stone Tools,19
-5000,initial,0,North surdranal Tribe,105,Food Preservation,19
-5000,initial,0,North surdranal Tribe,106,Storage Pits and Containers,19
-5000,initial,0,North surdranal Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,North surdranal Tribe,110,Dog Domestication,19
-5000,initial,0,North surdranal Tribe,111,Grinding Stones,19
-5000,initial,0,North surdranal Tribe,112,Proto-cultivation,19
-5000,initial,0,North surdranal Tribe,113,Sedentism,19
-5000,initial,0,North surdranal Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,North surdranal Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,North surdranal Tribe,116,Charcoal Firing,19
-5000,initial,0,North surdranal Tribe,1,Pottery,19
-5000,initial,0,North surdranal Tribe,2,Animal Husbandry,19
-5000,initial,0,North surdranal Tribe,4,Mining,19
-5000,initial,0,North surdranal Tribe,20,Agriculture,19
-5000,initial,0,North surdranal Tribe,3,Archery,19
-5000,initial,0,North surdranal Tribe,6,Calendar,19
-5000,initial,1,North rasur Tribe,100,Cordage and Knots,19
-5000,initial,1,North rasur Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,North rasur Tribe,102,Hafted Stone Tools,19
-5000,initial,1,North rasur Tribe,105,Food Preservation,19
-5000,initial,1,North rasur Tribe,106,Storage Pits and Containers,19
-5000,initial,1,North rasur Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,North rasur Tribe,110,Dog Domestication,19
-5000,initial,1,North rasur Tribe,111,Grinding Stones,19
-5000,initial,1,North rasur Tribe,112,Proto-cultivation,19
-5000,initial,1,North rasur Tribe,113,Sedentism,19
-5000,initial,1,North rasur Tribe,114,Enclosures and Herd Management,19
-5000,initial,1,North rasur Tribe,115,Counting Tokens and Tallies,19
-5000,initial,1,North rasur Tribe,116,Charcoal Firing,19
-5000,initial,1,North rasur Tribe,1,Pottery,19
-5000,initial,1,North rasur Tribe,2,Animal Husbandry,19
-5000,initial,1,North rasur Tribe,4,Mining,19
-5000,initial,1,North rasur Tribe,20,Agriculture,19
-5000,initial,1,North rasur Tribe,3,Archery,19
-5000,initial,1,North rasur Tribe,6,Calendar,19
-5000,initial,2,Old nalvipur Tribe,100,Cordage and Knots,19
-5000,initial,2,Old nalvipur Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,2,Old nalvipur Tribe,102,Hafted Stone Tools,19
-5000,initial,2,Old nalvipur Tribe,105,Food Preservation,19
-5000,initial,2,Old nalvipur Tribe,106,Storage Pits and Containers,19
-5000,initial,2,Old nalvipur Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,2,Old nalvipur Tribe,110,Dog Domestication,19
-5000,initial,2,Old nalvipur Tribe,111,Grinding Stones,19
-5000,initial,2,Old nalvipur Tribe,112,Proto-cultivation,19
-5000,initial,2,Old nalvipur Tribe,113,Sedentism,19
-5000,initial,2,Old nalvipur Tribe,114,Enclosures and Herd Management,19
-5000,initial,2,Old nalvipur Tribe,115,Counting Tokens and Tallies,19
-5000,initial,2,Old nalvipur Tribe,116,Charcoal Firing,19
