year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18180422.000000,0.000000,1.000000,0.000000,0.008466,0.000000,0.001442,0.023421,0.280120,0.280153,0.666790,0.598460,0.093477,0.176895,0.661451,0.001670,0.370178,0.034274,0.000003,0.000003,0.028682,0.000000,0.088014,0.078634,0.017857|0.424795|0.360433|0.086789|0.088312|0.021853,0.362134,0.245270,0.086453,0.104208,1.000000,1.000000,0.895792,302915.000000,305282.000000,0.017268,855.500000,1143.000000,0.024973,0.765700,0.581360,60,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0,0.224432,0.768931,0.732063,0.775567,137055.788645,136587.912196,809200.422465,0.000000,0.000000,0.000000,490116.603693
-4950,24165136.000000,0.002927,0.950608,0.001461,0.008546,0.000000,0.002019,0.022251,0.287157,0.288739,0.839565,0.549330,0.098443,0.189489,0.858799,0.000881,0.415217,0.045773,0.000007,0.000006,0.049392,0.000000,0.111548,0.097450,0.017858|0.432199|0.361589|0.088398|0.081353|0.018868,0.306341,0.343098,0.099832,0.126392,0.830802,0.985171,0.873608,418198.000000,489619.000000,0.040601,736.000000,1143.000000,0.054712,0.962700,0.677000,51,0.784615,50.000000,50.000000,0,151.626419,0.000034,0.177473,29,0,0.000597,0,11,0,15,0.277031,0.581390,0.814750,0.722970,467.445304,34653.788759,225781.900328,0.000000,0.000000,0.000000,25202044.256722
-4900,27821086.000000,0.002205,0.971808,0.001130,0.008441,0.000000,0.000000,0.022570,0.294726,0.298470,0.855477,0.546508,0.099173,0.200889,0.871140,0.000841,0.411151,0.049177,0.000008,0.000007,0.028192,0.000000,0.119748,0.098405,0.017859|0.432499|0.362760|0.086825|0.081876|0.018353,0.290099,0.380513,0.098718,0.129154,0.921343,1.000000,0.870846,447619.000000,602452.000000,0.038783,603.000000,1143.000000,0.055477,0.968200,0.743300,42,0.591549,100.000000,100.000000,0,2055.632568,0.000132,0.136617,26,0,0.000392,0,7,0,1,0.277372,0.581905,0.818400,0.722628,523.091576,11013.768562,63866.709307,0.000000,0.000000,0.000000,62492157.511898
-4850,31322187.000000,0.002093,0.974489,0.000927,0.008288,0.000000,0.000402,0.022601,0.301159,0.308364,0.829457,0.551994,0.103673,0.201796,0.826362,0.000761,0.403548,0.051197,0.000012,0.000010,0.025511,0.000000,0.124298,0.095653,0.017859|0.434114|0.362592|0.085544|0.081913|0.018114,0.294309,0.393494,0.097472,0.132691,0.882286,1.000000,0.867309,460163.000000,676606.600000,0.046871,562.000000,1143.000000,0.057977,0.966300,0.696880,40,0.547945,150.000000,150.000000,0,2208.526611,0.000116,0.317951,28,0,0.000400,0,4,0,3,0.281770,0.585702,0.816378,0.718230,521.328538,17035.283594,106664.439087,0.000000,0.000000,0.000000,99210104.226080
-4800,35071268.000000,0.002066,0.988086,0.000512,0.008311,0.000000,0.000617,0.022777,0.309640,0.318957,0.887348,0.544580,0.108743,0.204652,0.892297,0.000706,0.404457,0.053560,0.000014,0.000012,0.011914,0.000000,0.127836,0.087284,0.017859|0.434550|0.362670|0.084244|0.082774|0.017987,0.287665,0.414250,0.098506,0.135655,0.959786,1.000000,0.864345,460309.000000,779182.200000,0.051546,562.000000,1143.000000,0.060046,0.975200,0.697200,39,0.534247,200.000000,200.000000,0,2466.206299,0.000112,0.288065,41,0,0.000209,0,0,0,4,0.285698,0.592625,0.831592,0.714302,1158.733511,8870.983968,44251.571694,0.000000,0.000000,0.000000,142944755.526725
-4750,38878296.000000,0.002016,0.994171,0.000203,0.008445,0.000000,0.000856,0.022921,0.314629,0.329897,0.861659,0.470130,0.110480,0.206762,0.856785,0.000705,0.399072,0.056422,0.000017,0.000013,0.005829,0.000000,0.138003,0.080544,0.017859|0.435111|0.362107|0.083388|0.083701|0.017932,0.282655,0.435491,0.100965,0.143503,0.998486,1.000000,0.856497,500073.000000,854961.000000,0.053550,533.000000,1143.000000,0.062379,0.972400,0.701960,33,0.428571,180.000000,250.000000,0,2887.766602,0.000186,0.322860,49,0,0.000113,0,5,0,14,0.293748,0.598033,0.828844,0.706252,1253.589416,10532.389803,52005.993021,0.000000,0.000000,0.000000,203084492.484489
-4700,43240289.000000,0.002032,0.991283,0.000358,0.008436,0.000000,0.000996,0.023411,0.319609,0.340185,0.843144,0.468843,0.111333,0.198568,0.846508,0.000644,0.402394,0.054471,0.000017,0.000013,0.008717,0.000000,0.142384,0.073860,0.017859|0.435322|0.363937|0.082547|0.082482|0.017932,0.283699,0.445134,0.103393,0.145388,0.989372,1.000000,0.854612,447607.000000,956987.200000,0.053579,517.500000,1143.000000,0.064204,0.962750,0.707530,32,0.410256,225.000000,300.000000,0,4245.405762,0.000287,0.271716,54,0,0.000188,0,3,0,11,0.303036,0.595275,0.821965,0.696964,1521.249968,20331.303517,118482.928066,0.000000,0.000000,0.000000,258815571.026354
-4650,47627554.000000,0.001984,0.984916,0.000651,0.008287,0.000000,0.000000,0.023595,0.325115,0.350933,0.854833,0.480968,0.109626,0.199157,0.852015,0.000610,0.402759,0.052701,0.000019,0.000013,0.015084,0.000000,0.149573,0.071332,0.017859|0.433064|0.366330|0.082916|0.081966|0.017954,0.289906,0.447306,0.105869,0.148135,0.941468,1.000000,0.851865,451794.000000,1085537.200000,0.053863,513.500000,1144.600000,0.062891,0.978200,0.691960,32,0.400000,275.000000,350.000000,0,4543.836426,0.000306,0.214933,64,0,0.000359,0,2,0,10,0.297409,0.590190,0.829046,0.702591,1378.831330,19346.803200,100323.288928,0.000000,0.000000,0.000000,319942733.968375
-4600,52294532.000000,0.001968,0.985297,0.000524,0.008249,0.000000,0.001407,0.023975,0.331291,0.362372,0.870671,0.474493,0.108507,0.204250,0.860969,0.000502,0.403583,0.055059,0.000019,0.000014,0.014703,0.000000,0.154067,0.070153,0.017858|0.434908|0.365008|0.084754|0.079575|0.017968,0.292296,0.450417,0.110940,0.151255,0.937110,1.000000,0.848745,508082.000000,1148234.000000,0.056535,529.000000,1143.000000,0.063929,0.975000,0.715500,32,0.395062,325.000000,400.000000,0,5652.081543,0.000332,0.224141,91,0,0.000384,0,1,0,19,0.299121,0.597970,0.833013,0.700879,2264.413889,20508.253472,107724.788102,0.000000,0.000000,0.000000,384120437.731419
-4550,56699384.000000,0.001905,0.992665,0.000316,0.008369,0.000000,0.001178,0.024544,0.337475,0.372746,0.842543,0.449154,0.131570,0.210808,0.825354,0.000491,0.400959,0.062672,0.000021,0.000015,0.007335,0.000000,0.157717,0.072175,0.017858|0.434438|0.363934|0.088307|0.077583|0.017993,0.293975,0.455264,0.113433,0.151861,0.988880,1.000000,0.848139,476907.000000,1313534.500000,0.059674,555.500000,1228.300000,0.052060,0.968700,0.647740,29,0.353659,360.000000,450.000000,0,6914.983398,0.000412,0.275331,102,0,0.000208,0,3,0,20,0.302104,0.608109,0.821972,0.697896,3757.610087,23720.222168,128397.386570,0.000000,0.000000,0.000000,464041070.881053
-4500,60779219.000000,0.001848,0.994508,0.000340,0.008434,0.000000,0.000993,0.025226,0.344192,0.386847,0.796117,0.464889,0.125308,0.206075,0.782538,0.000486,0.400176,0.058976,0.000021,0.000015,0.005492,0.000000,0.161481,0.073916,0.017858|0.429881|0.367598|0.092824|0.074192|0.018009,0.300361,0.459453,0.112767,0.154709,0.998709,1.000000,0.845290,482882.500000,1530146.900000,0.063199,558.500000,1228.300000,0.052693,0.962550,0.645370,28,0.341463,405.000000,500.000000,0,8293.873047,0.000415,0.311016,111,0,0.000167,0,0,0,24,0.305759,0.601724,0.806862,0.694241,3469.616624,24005.303786,131333.836072,0.000000,0.000000,0.000000,528189777.457627
-4450,64276674.000000,0.001780,0.993084,0.000215,0.008330,0.000000,0.001066,0.026051,0.346982,0.398118,0.757332,0.459156,0.111755,0.205225,0.695973,0.000445,0.395340,0.061359,0.000022,0.000015,0.006916,0.000000,0.168838,0.076331,0.017858|0.418862|0.377572|0.098871|0.069791|0.017986,0.307186,0.464727,0.115791,0.157785,0.997864,1.000000,0.842215,469908.000000,1589630.400000,0.065634,555.000000,1333.000000,0.050919,0.960000,0.654520,27,0.317647,450.000000,550.000000,0,9522.750000,0.000427,0.327453,117,1,0.000222,0,7,0,34,0.307817,0.598545,0.787328,0.692183,2746.764564,24492.590210,134871.813634,0.000000,0.000000,0.000000,605771341.364674
-4400,69073084.000000,0.001440,0.987975,0.000386,0.008213,0.000000,0.001786,0.026873,0.354523,0.410979,0.755046,0.401172,0.142438,0.202884,0.701889,0.000477,0.397751,0.062618,0.000022,0.000015,0.012025,0.000000,0.172152,0.077904,0.017858|0.408274|0.385504|0.103580|0.067309|0.017973,0.305048,0.472904,0.117642,0.160908,0.957484,1.000000,0.839092,604853.000000,1809979.200000,0.063598,581.000000,1333.000000,0.047237,0.962600,0.617860,27,0.317647,500.000000,600.000000,0,10841.328125,0.000420,0.284625,113,0,0.000415,0,0,0,29,0.306071,0.591049,0.794599,0.693929,1370.743100,23787.725620,129664.550672,0.000000,0.000000,0.000000,669832926.706569
-4350,74551342.000000,0.001528,0.984802,0.000576,0.008289,0.000000,0.001438,0.027931,0.359962,0.422253,0.757189,0.411240,0.110828,0.204567,0.661440,0.000439,0.396022,0.063593,0.000022,0.000015,0.015198,0.000000,0.174568,0.079083,0.017858|0.398426|0.395221|0.106919|0.064230|0.017953,0.303433,0.481987,0.119689,0.162727,0.941623,1.000000,0.837273,583525.000000,2155127.800000,0.054820,562.000000,1359.800000,0.052142,0.954400,0.642780,27,0.317647,550.000000,650.000000,0,12702.222656,0.000436,0.303480,109,0,0.000567,0,2,0,26,0.310292,0.586126,0.789869,0.689708,1331.006150,24481.029966,133001.182078,0.000000,0.000000,0.000000,735380835.135587
-4300,79977991.000000,0.001406,0.985147,0.000608,0.008429,0.000000,0.001257,0.029227,0.366983,0.434066,0.753327,0.439804,0.115133,0.209437,0.696550,0.000440,0.396671,0.065394,0.000022,0.000016,0.014853,0.000000,0.176814,0.082004,0.017858|0.381803|0.407581|0.110730|0.065224|0.017935,0.302642,0.489749,0.121447,0.164449,0.939232,1.000000,0.835550,599836.500000,2326545.000000,0.049644,558.500000,1445.000000,0.050790,0.954350,0.643150,26,0.302326,590.000000,700.000000,0,13774.621094,0.000434,0.267733,118,0,0.000594,0,2,0,20,0.310926,0.588903,0.792350,0.689074,1426.834467,25651.735980,138597.787833,0.000000,0.000000,0.000000,805696282.175999
-4250,85523139.000000,0.001342,0.980454,0.000501,0.008408,0.000000,0.001385,0.030685,0.371110,0.449811,0.747399,0.454372,0.148164,0.208893,0.667882,0.000453,0.393611,0.065480,0.000021,0.000016,0.019546,0.000000,0.179061,0.082903,0.017858|0.366407|0.417257|0.116194|0.065985|0.017924,0.307411,0.487945,0.123560,0.167039,0.910276,1.000000,0.832961,606067.000000,2665869.500000,0.044940,583.000000,1445.000000,0.054009,0.954800,0.633550,26,0.302326,640.000000,750.000000,0,15326.619141,0.000406,0.299198,132,0,0.000836,0,0,0,31,0.319250,0.590590,0.790233,0.680750,2224.631009,28128.640306,157515.681978,0.000000,0.000000,0.000000,874889726.601891
-4200,91911288.000000,0.001442,0.981059,0.000690,0.008260,0.000000,0.001347,0.032468,0.379437,0.461888,0.717064,0.469681,0.150601,0.206691,0.657785,0.000471,0.384333,0.065248,0.000020,0.000016,0.018941,0.000000,0.180297,0.084307,0.017858|0.354656|0.426424|0.122555|0.062875|0.017910,0.313392,0.490631,0.125319,0.169228,0.927378,1.000000,0.830772,597086.000000,3013184.600000,0.049173,562.000000,1376.200000,0.057415,0.944400,0.630180,25,0.287356,670.000000,800.000000,0,19855.339844,0.000457,0.284582,112,0,0.000870,0,1,0,32,0.322429,0.588850,0.782998,0.677571,1529.492841,28612.309222,156588.444200,0.000000,0.000000,0.000000,1194944172.311282
-4150,99565908.000000,0.001601,0.949347,0.001396,0.008280,0.000000,0.001647,0.034557,0.385969,0.474210,0.737534,0.480208,0.149970,0.211205,0.650392,0.000454,0.387603,0.066992,0.000020,0.000017,0.050653,0.000000,0.180971,0.085599,0.017858|0.341388|0.435715|0.126571|0.063327|0.017904,0.316983,0.493420,0.128153,0.169749,0.852556,0.982996,0.830251,585779.000000,3406879.800000,0.045149,562.000000,1323.400000,0.062749,0.945500,0.671080,22,0.247191,640.000000,850.000000,0,25512.189453,0.000477,0.265212,126,0,0.002522,0,2,0,28,0.321638,0.575019,0.782040,0.678362,958.565706,21554.017583,112685.713764,0.000000,0.000000,0.000000,1262203965.902568
-4100,107747535.000000,0.001581,0.930922,0.001774,0.008429,0.000000,0.001551,0.037070,0.392134,0.486336,0.738560,0.456811,0.173987,0.212504,0.646246,0.000448,0.391172,0.068114,0.000020,0.000017,0.069078,0.000000,0.183610,0.087508,0.017858|0.323555|0.450391|0.130321|0.063071|0.017904,0.309394,0.509430,0.130832,0.172091,0.811544,0.944519,0.827909,611202.000000,3876650.400000,0.045321,562.000000,1486.200000,0.065331,0.960500,0.628660,19,0.213483,670.000000,900.000000,0,32401.291016,0.000507,0.284716,131,0,0.003721,0,0,0,23,0.316965,0.581539,0.795714,0.683035,476.137665,22231.089598,116097.801074,0.000000,0.000000,0.000000,1327551317.170536
-4050,118095291.000000,0.001836,0.920785,0.002408,0.008473,0.000000,0.001223,0.039744,0.398213,0.498786,0.735334,0.452971,0.159489,0.216920,0.651919,0.000487,0.392350,0.071182,0.000019,0.000017,0.079215,0.000000,0.185352,0.088239,0.017858|0.310978|0.459774|0.134698|0.062036|0.017898,0.307833,0.517839,0.130694,0.175918,0.792862,0.951768,0.824082,628716.000000,4166051.200000,0.059732,536.000000,1486.200000,0.066894,0.953500,0.677580,18,0.202247,720.000000,950.000000,0,42297.960938,0.000557,0.272880,124,0,0.004677,0,0,0,27,0.324342,0.585633,0.795728,0.675658,556.569990,29939.549545,163722.940084,0.000000,0.000000,0.000000,1398205647.950974
-4000,128806115.000000,0.001738,0.948142,0.001582,0.008372,0.000000,0.001230,0.042589,0.403798,0.514085,0.724913,0.455699,0.152199,0.224755,0.623271,0.000444,0.390601,0.091496,0.000019,0.000017,0.051858,0.000000,0.188441,0.089867,0.017858|0.297372|0.471963|0.138341|0.059903|0.017891,0.306880,0.528706,0.127730,0.178375,0.826738,0.998706,0.821625,656034.000000,4527244.200000,0.064102,512.500000,1552.400000,0.068711,0.948200,0.691430,17,0.188889,737.500000,1000.000000,0,33759.031250,0.000444,0.304774,142,1,0.003340,0,1,0,28,0.334719,0.579634,0.790998,0.665281,1995.123989,27429.800207,147771.245194,0.000000,0.000000,0.000000,1520748514.761132
-3950,140561197.000000,0.001748,0.963811,0.000951,0.008304,0.000000,0.001255,0.045908,0.408516,0.527555,0.697622,0.486224,0.182790,0.221676,0.598550,0.000397,0.391488,0.092529,0.000018,0.000017,0.036189,0.000000,0.190070,0.090766,0.017858|0.282557|0.483927|0.142680|0.058512|0.017891,0.313225,0.530043,0.129921,0.181003,0.872041,1.000000,0.818997,651065.000000,5138872.000000,0.065595,511.000000,1552.000000,0.067444,0.944400,0.682700,16,0.175824,705.000000,1050.000000,0,27475.222656,0.000350,0.349677,133,0,0.002543,0,2,0,27,0.334175,0.582518,0.774424,0.665825,4096.601824,31469.253904,173485.654341,0.000000,0.000000,0.000000,1600556074.694065
-3900,153085193.000000,0.001708,0.965076,0.000713,0.008435,0.000000,0.001254,0.047090,0.413713,0.539923,0.709852,0.474100,0.186235,0.214732,0.619595,0.000363,0.385668,0.099303,0.000018,0.000016,0.034924,0.000000,0.191642,0.091552,0.017858|0.268247|0.496506|0.147473|0.055637|0.017885,0.319131,0.533315,0.134908,0.194962,0.870256,1.000000,0.805038,660865.500000,5844922.800000,0.065725,508.000000,1555.600000,0.069397,0.946650,0.677670,15,0.163043,715.000000,1100.000000,0,28333.138672,0.000337,0.378404,160,0,0.002673,0,2,0,29,0.339110,0.576904,0.779343,0.660890,4502.476673,34203.417690,191226.101066,0.000000,0.000000,0.000000,1684995734.297469
-3850,165272818.000000,0.001533,0.958013,0.000921,0.008570,0.000000,0.001227,0.051198,0.418309,0.555279,0.688430,0.478943,0.211191,0.216007,0.575699,0.000351,0.388151,0.104199,0.000018,0.000017,0.041987,0.000000,0.194226,0.094192,0.017858|0.247145|0.512972|0.152987|0.054849|0.017880,0.321236,0.539833,0.138686,0.195527,0.858691,1.000000,0.804473,682667.500000,6575670.600000,0.064486,512.500000,1587.700000,0.068514,0.939700,0.679100,15,0.163043,765.000000,1150.000000,0,1298899.250000,0.008159,0.357464,176,0,0.003470,0,0,0,33,0.339389,0.568980,0.774285,0.660611,3924.418680,35614.843967,201379.998783,0.000000,0.000000,0.000000,1769777315.706227
-3800,182289051.000000,0.001962,0.965557,0.000811,0.008478,0.000000,0.000943,0.054881,0.424079,0.570598,0.721641,0.490430,0.236802,0.221461,0.631497,0.000341,0.389355,0.107114,0.000017,0.000016,0.034443,0.000000,0.195574,0.094698,0.017858|0.234837|0.521681|0.155904|0.055469|0.017878,0.322782,0.542273,0.140733,0.200740,0.887824,1.000000,0.799260,704942.500000,7408583.900000,0.063650,515.000000,1587.700000,0.068161,0.953750,0.685040,15,0.163043,815.000000,1200.000000,0,1482714.875000,0.008406,0.326203,141,0,0.003139,0,0,0,26,0.341057,0.575241,0.781777,0.658943,7632.876001,41371.637629,239735.524959,0.000000,0.000000,0.000000,1856643062.369760
-3750,200662725.000000,0.001922,0.966899,0.000625,0.008378,0.000000,0.000987,0.058839,0.430330,0.585455,0.711942,0.508734,0.194824,0.224906,0.639995,0.000326,0.395838,0.098915,0.000019,0.000018,0.033101,0.000000,0.200685,0.099135,0.017857|0.223415|0.531075|0.159823|0.053547|0.017878,0.328446,0.545673,0.138978,0.202245,0.879413,1.000000,0.797755,708931.000000,8269343.800000,0.065996,514.000000,1608.200000,0.066204,0.952300,0.638840,13,0.139785,825.000000,1250.000000,0,1663047.625000,0.008538,0.500162,154,0,0.003321,0,2,0,34,0.345866,0.575764,0.779436,0.654134,9936.459511,46571.887382,274633.751870,0.000000,0.000000,0.000000,1952793177.074195
-3700,219895199.000000,0.001832,0.991157,0.000182,0.008448,0.000000,0.001452,0.063494,0.435534,0.600522,0.713272,0.522100,0.188346,0.227811,0.639656,0.000322,0.390580,0.107558,0.000020,0.000018,0.008843,0.000000,0.204280,0.102449,0.017857|0.212288|0.540754|0.164542|0.050207|0.017876,0.330166,0.551210,0.138610,0.205507,0.971685,1.000000,0.794493,649961.000000,8630208.200000,0.071738,521.000000,1704.800000,0.064458,0.953700,0.698240,13,0.134021,775.000000,1300.000000,0,1863794.750000,0.008703,0.684675,171,0,0.000972,0,5,0,36,0.342769,0.596669,0.781009,0.657231,16838.857112,55747.484606,334887.040038,0.000000,0.000000,0.000000,2495684315.196805
-3650,239374001.000000,0.001699,0.991739,0.000274,0.008626,0.000000,0.001218,0.068850,0.441217,0.614361,0.694372,0.538171,0.193179,0.224006,0.597113,0.000345,0.391706,0.107386,0.000019,0.000018,0.008261,0.654031,0.206583,0.104752,0.017857|0.198852|0.550213|0.170604|0.048108|0.017874,0.333347,0.555315,0.137735,0.198938,0.979701,1.000000,0.801062,631866.000000,9305061.800000,0.071814,562.000000,1634.200000,0.063273,0.939300,0.682640,12,0.121212,825.000000,1350.000000,0,2083687.625000,0.008911,0.732151,190,0,0.000989,0,4,0,51,0.343763,0.602335,0.769689,0.656237,15510.936320,58412.715104,354046.764076,0.000000,0.000000,0.000000,2590593319.546842
-3600,261654463.000000,0.001782,0.990174,0.000343,0.008658,0.000000,0.001831,0.073365,0.444812,0.621736,0.714703,0.517937,0.151735,0.219868,0.623968,0.000355,0.394335,0.104249,0.000019,0.000019,0.009826,0.646828,0.207088,0.106998,0.017857|0.185446|0.560241|0.175776|0.046218|0.017872,0.339608,0.555585,0.141521,0.206281,0.966846,1.000000,0.793720,662391.000000,10340456.900000,0.068560,574.000000,1634.100000,0.062530,0.941550,0.680720,12,0.120000,697.500000,1400.000000,0,2134337.000000,0.008340,0.737169,208,0,0.001286,0,1,0,50,0.347380,0.584185,0.785458,0.652620,9489.881770,58124.946677,347069.991290,0.000000,0.000000,0.000000,2663618348.278526
-3550,285880066.000000,0.001773,0.976193,0.000316,0.008541,0.000000,0.002568,0.080278,0.450937,0.630225,0.699044,0.516143,0.153691,0.220252,0.605908,0.000341,0.385451,0.106047,0.000021,0.000020,0.023807,0.635317,0.207762,0.108740,0.017857|0.170648|0.572907|0.181139|0.042895|0.017868,0.345338,0.556020,0.139019,0.218144,0.907239,1.000000,0.781856,688745.000000,12840125.700000,0.071528,591.500000,1598.900000,0.062210,0.945400,0.694470,12,0.117647,705.000000,1450.000000,0,2168833.750000,0.015490,0.487031,196,0,0.003403,0,2,0,52,0.353939,0.582305,0.774561,0.646061,7161.855900,61972.163889,365785.037493,0.000000,0.000000,0.000000,2770541510.607124
-3500,314151534.000000,0.001888,0.978501,0.000286,0.008515,0.000000,0.001237,0.086782,0.458389,0.645848,0.700081,0.533193,0.188983,0.222162,0.601784,0.000294,0.389614,0.107392,0.000020,0.000020,0.021499,0.760123,0.208268,0.108515,0.017857|0.159102|0.579654|0.185720|0.042953|0.017868,0.348468,0.557883,0.142808,0.217830,0.919806,1.000000,0.782170,659161.000000,14616356.200000,0.074129,604.000000,1583.800000,0.061744,0.942000,0.692440,12,0.116505,695.000000,1500.000000,0,2216997.500000,0.017578,0.417966,183,0,0.003377,0,1,0,58,0.360135,0.578791,0.778934,0.639865,7984.405327,66376.868804,402213.673440,0.000000,0.000000,0.000000,2844537199.326987
-3450,346029689.000000,0.001935,0.981337,0.000216,0.008710,0.000000,0.001061,0.094592,0.466584,0.657262,0.669764,0.535053,0.155166,0.224513,0.590207,0.000312,0.385024,0.107947,0.000019,0.000019,0.018663,0.758854,0.210290,0.110144,0.017857|0.148823|0.587600|0.189965|0.040872|0.017865,0.353646,0.559044,0.145354,0.218943,0.927461,1.000000,0.781057,643536.000000,16454370.600000,0.076576,610.000000,1599.100000,0.061281,0.917800,0.696440,11,0.107843,720.000000,1546.000000,0,2194434.500000,0.017558,0.418286,222,0,0.003229,0,0,0,48,0.364458,0.578743,0.770864,0.635542,10374.204404,74637.193520,452297.203518,0.000000,0.000000,0.000000,2916303629.289476
-3400,381407552.000000,0.001949,0.978824,0.000366,0.008814,0.000000,0.000765,0.099565,0.467045,0.676244,0.662357,0.527721,0.173486,0.223455,0.571410,0.000369,0.383467,0.106976,0.000019,0.000019,0.021176,0.799372,0.211357,0.111155,0.017857|0.138885|0.592667|0.194382|0.039280|0.017864,0.353626,0.563318,0.145870,0.211245,0.918055,1.000000,0.788755,628781.000000,17024234.400000,0.078978,604.000000,1630.000000,0.074532,0.926600,0.680080,11,0.106796,770.000000,1592.000000,0,2182844.750000,0.016658,0.398023,227,0,0.004038,0,2,0,56,0.364444,0.574767,0.764637,0.635556,11256.249248,80800.475563,494891.759665,0.000000,0.000000,0.000000,2998252640.124821
-3350,419209003.000000,0.001892,0.973676,0.000409,0.008754,0.000000,0.002322,0.108440,0.477066,0.691778,0.675498,0.510278,0.164506,0.224634,0.571706,0.000338,0.386261,0.111266,0.000020,0.000022,0.026324,0.791772,0.213042,0.111379,0.017857|0.128097|0.599490|0.199616|0.037901|0.017862,0.349913,0.574965,0.145325,0.217583,0.915361,1.000000,0.782417,615471.000000,18933559.400000,0.081600,618.000000,1765.400000,0.057069,0.917300,0.649820,10,0.095238,660.000000,1608.000000,0,2168722.000000,0.015656,0.398195,238,0,0.005518,0,5,0,38,0.367911,0.571874,0.769304,0.632089,8634.620811,84155.482727,518494.779779,0.000000,0.000000,0.000000,3111373644.516896
-3300,461574628.000000,0.001927,0.926626,0.001033,0.008669,0.000000,0.001285,0.116699,0.483352,0.697394,0.678405,0.525953,0.149032,0.226154,0.572422,0.000298,0.385330,0.110348,0.000021,0.000023,0.073374,0.786346,0.213941,0.112110,0.017857|0.120644|0.605388|0.203375|0.035634|0.017862,0.347844,0.584454,0.145203,0.222152,0.812285,0.950977,0.777848,672057.500000,21039273.000000,0.084064,616.500000,1767.500000,0.056610,0.933750,0.647500,10,0.094340,710.000000,1657.500000,0,2179964.000000,0.014383,0.368243,219,0,0.016934,0,1,0,40,0.370596,0.562180,0.769260,0.629404,2694.116669,83846.902530,509599.941575,0.000000,0.000000,0.000000,3193865244.050632
-3250,508369914.000000,0.001933,0.905255,0.001222,0.008762,0.000000,0.000623,0.123999,0.488678,0.695779,0.676404,0.534888,0.181610,0.228205,0.579368,0.000293,0.384211,0.112610,0.000022,0.000023,0.094745,0.775792,0.216524,0.115480,0.017857|0.112666|0.612204|0.205549|0.034518|0.017861,0.342525,0.593662,0.146231,0.231099,0.794765,0.921717,0.768901,695284.000000,22176816.800000,0.086490,629.000000,1667.600000,0.055990,0.935200,0.659840,10,0.093458,715.000000,1707.000000,0,2183271.250000,0.013182,0.374899,202,0,0.024083,0,1,0,57,0.374094,0.563986,0.775701,0.625906,2901.669945,91490.873426,556226.861820,0.000000,0.000000,0.000000,3415383841.397918
-3200,560198733.000000,0.001944,0.908172,0.001716,0.008918,0.000000,0.001074,0.125684,0.497605,0.711664,0.675011,0.524331,0.181864,0.230321,0.564680,0.000344,0.385809,0.113028,0.000022,0.000024,0.091828,0.812427,0.220175,0.118232,0.017857|0.106106|0.617389|0.208130|0.033227|0.017860,0.332928,0.608319,0.146396,0.230180,0.793527,0.915085,0.769820,720434.000000,24729300.600000,0.088934,630.000000,1685.600000,0.055205,0.934500,0.658980,9,0.084112,745.000000,1737.000000,0,2203893.250000,0.012143,0.373552,226,0,0.025721,0,0,0,41,0.376337,0.559852,0.774045,0.623663,3681.740411,99917.689728,606810.641693,0.000000,0.000000,0.000000,3494564538.467129
-3150,605491956.000000,0.001556,0.924575,0.001109,0.008936,0.000000,0.001250,0.132665,0.500747,0.733362,0.651057,0.506320,0.154205,0.230065,0.524006,0.000296,0.381205,0.113578,0.000023,0.000026,0.075425,0.804245,0.222534,0.119805,0.017857|0.098878|0.620878|0.213003|0.032043|0.017860,0.325398,0.619913,0.142597,0.230391,0.823289,0.941102,0.769609,731867.000000,25029873.300000,0.093260,637.500000,1659.200000,0.054673,0.906700,0.677870,9,0.083333,737.500000,1784.000000,0,2213166.250000,0.011643,0.342390,248,0,0.022835,0,4,0,63,0.373703,0.560354,0.766362,0.626297,10765.417019,114930.931101,704367.568994,0.000000,0.000000,0.000000,3624048476.974186
