year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,5748902,5748902,63075.571122543828,37050.642593562436,16555
-4999,5793096,5793096,38723.455698526639,63425.811725953026,16555
-4998,5837012,5837012,42811.785046589583,91185.679609515311,16555
-4997,5880618,5880618,41017.971096720823,119503.56560619887,16555
-4996,5925332,5925332,43707.968738788069,148265.81033432041,16555
-4995,5971063,5971063,41120.559498618153,177282.02571195006,16584
-4994,6017358,6017358,46061.52254394631,206777.35179882936,16631
-4993,6064218,6064218,40912.597367194765,236256.11512091992,16696
-4992,6111451,6111451,45654.364933223849,266140.79701391107,16764
-4991,6158490,6158490,43622.011777423897,296195.44813112984,16825
-4990,6205921,6205921,46572.342903545534,326532.69598393491,16872
-4989,6252252,6252252,44183.626339213108,357050.09894195892,16915
-4988,6298256,6298256,47494.861742598288,387810.28405048256,16954
-4987,6343629,6343629,44272.322810976948,418678.51129925228,16990
-4986,6388356,6388356,48372.024346534476,449900.65792223014,17026
-4985,6432701,6432701,45908.63426319154,481256.03022563056,17049
-4984,6475880,6475880,48089.440319494199,512817.95274633676,17063
-4983,6518303,6518303,46576.724810199274,544544.63914696546,17079
-4982,6559881,6559881,48644.703717584198,576473.5725175991,17098
-4981,6600626,6600626,46209.490245868081,608534.84263297974,17122
-4980,6639897,6639897,51277.202036174429,640995.4704977381,17157
-4979,6678636,6678636,49194.494517390747,673498.81624842924,17184
-4978,6716460,6716460,50120.529400558036,706174.51395493222,17205
-4977,6753679,6753679,48605.401343543381,738957.77308389463,17225
-4976,6790445,6790445,47680.972436504053,771852.94937289238,17233
-4975,6827106,6827106,50874.660190994335,805049.05043187586,17249
-4974,6863245,6863245,49143.517915822318,838368.62923388591,17265
-4973,6899039,6899039,51030.716111212947,871858.54700357164,17274
-4972,6934384,6934384,52490.233402093349,905499.05092862912,17288
-4971,6969365,6969365,49028.813833123699,939114.54601723293,17294
-4970,7003975,7003975,52057.255790150579,972906.53229253169,17294
-4969,7038995,7038995,50099.847662050706,1006799.9247277423,17294
-4968,7073277,7073277,52508.020213514377,1040805.5424801995,17294
-4967,7107048,7107048,49589.640735198023,1074841.5041365479,17297
-4966,7140892,7140892,52929.318798257664,1109050.0276241896,17300
-4965,7173881,7173881,49758.587606447676,1143234.526261268,17303
-4964,7208843,7208843,52068.311504729129,1176547.6959632607,16798
-4963,7240380,7240380,48757.703407232788,1209882.6277366022,16803
-4962,7271488,7271488,52096.933710997451,1243392.5433942578,16806
-4961,7302179,7302179,49051.855885892699,1276875.9112117917,16814
-4960,7332296,7332296,52440.755309742286,1310538.5371439471,16831
-4959,7361961,7361961,49269.719715669911,1344153.9975856091,16846
-4958,7391253,7391253,52534.02548977048,1377936.5099812204,16859
-4957,7419821,7419821,49407.042623944333,1411677.8708911913,16874
-4956,7448334,7448334,52799.680829686949,1445574.7074727949,16884
-4955,7476711,7476711,49567.89844834408,1479423.9380733424,16895
-4954,7496795,7496795,51688.44944567635,1512220.0203601141,16910
-4953,7514511,7514511,48353.907427996164,1544946.7517579643,16926
-4952,7532711,7532711,55127.55118518979,1577912.5527327741,16939
-4951,7551707,7551707,48564.500469397106,1610762.6242709935,16951
-4950,7571401,7571401,52231.454604350962,1643736.9958895573,16960
-4949,7590740,7590740,48801.855778474674,1676726.8198185137,16974
-4948,7611080,7611080,52391.855670396442,1709799.8772579762,16989
-4947,7631722,7631722,52314.612768739033,1742948.9564999174,17007
-4946,7652756,7652756,52487.626063584903,1776095.0312023403,17025
-4945,7673613,7673613,49211.056898631963,1809228.1848210886,17044
-4944,7694896,7694896,55660.89099354903,1842559.6208770485,17062
-4943,7716167,7716167,49283.578249753344,1875764.973772354,17079
-4942,7737464,7737464,56030.246682363788,1909179.805485928,17094
-4941,7759417,7759417,49536.4066750442,1942476.2190039852,17108
-4940,7781282,7781282,55964.15065479558,1975960.6946031966,17118
-4939,7803441,7803441,46901.792692504532,2006898.4265649046,17135
-4938,7823949,7823949,53523.841425397564,2038005.2035492072,17147
-4937,7844395,7844395,47138.309976715704,2069068.5485842894,17161
-4936,7864372,7864372,53437.307275620733,2100282.9950091103,17175
-4935,7885074,7885074,47250.073381582188,2131453.6799097173,17189
-4934,7906277,7906277,53496.283982125118,2162809.2992006061,17200
-4933,7927794,7927794,47434.28558679203,2194115.6106462413,17210
-4932,7949107,7949107,53424.288223960852,2225613.462238336,17218
-4931,7970953,7970953,47583.640541112443,2257051.7487457986,17228
-4930,7993051,7993051,53590.73632494449,2288705.3295057197,17236
-4929,8014750,8014750,47824.386846351888,2320290.9276171392,17244
-4928,8037310,8037310,50669.173522309902,2351960.2772242781,17251
-4927,8060019,8060019,51308.577112725114,2383821.6269140565,17259
-4926,8082669,8082669,50748.62524518212,2415622.1845234158,17274
-4925,8105518,8105518,48135.239593693928,2447476.1020483566,17284
-4924,8127314,8127314,54574.401386322992,2479570.1804143777,17292
-4923,8149184,8149184,48199.70980856465,2511510.4406479336,17305
-4922,8170538,8170538,50859.85876031348,2543571.9942982807,17312
-4921,8192055,8192055,52140.062838349244,2575831.9349244558,17319
