year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,13980314.000000,0.024881,114872.000000,300.000000,0.000000,0.000779,0.001111,0.000000,0.000000,0.000000,3,1.000000,1.000000,0.000155,0.000155,0.981999,0.951197,0.704531,0.701625,0.000000,0.000000
-4990,15129811.000000,0.028215,119450.000000,307.000000,0.000000,0.005509,0.002525,0.000000,0.000000,0.000000,12,0.949942,0.780553,0.000075,0.000100,0.996439,0.997884,0.743059,0.680714,0.000000,0.000000
-4980,16247215.000000,0.028523,123763.000000,314.000000,0.000000,0.008208,0.001818,0.000000,0.000000,0.000000,12,0.960449,0.805486,0.000074,0.000096,0.970371,0.949732,0.739886,0.632198,0.000000,0.000000
-4970,17159509.000000,0.028537,132073.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0.967090,0.828930,0.000077,0.000117,0.951134,0.925185,0.717125,0.527265,0.000000,0.000660
-4960,17936952.000000,0.028477,139245.500000,307.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23,0.973557,0.851817,0.000082,0.000156,0.888791,0.607898,0.680813,0.311234,0.010137,0.010137
-4950,18628347.000000,0.028267,124901.000000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38,0.974397,0.878755,0.000092,0.000158,0.828717,0.384691,0.645356,0.262417,0.020566,0.025320
-4940,19254979.000000,0.028402,117540.000000,285.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39,0.975379,0.867223,0.000118,0.000218,0.765136,0.059723,0.596768,0.016548,0.040685,0.057941
-4930,19836296.000000,0.028117,119118.000000,285.000000,0.000000,0.004998,0.001904,0.000000,0.000000,0.000000,39,0.975102,0.870064,0.000102,0.000183,0.721965,0.008019,0.551486,0.012804,0.070114,0.120394
-4920,20382960.000000,0.028063,119019.500000,283.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39,0.972907,0.854545,0.000106,0.000199,0.656025,0.005726,0.523133,0.011875,0.071509,0.140739
-4910,20897862.000000,0.027907,126866.500000,275.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41,0.972318,0.853159,0.000118,0.000196,0.590502,0.006586,0.474209,0.011041,0.146197,0.183522
-4900,21407060.000000,0.028134,112637.000000,268.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47,0.975040,0.854962,0.000105,0.000184,0.542861,0.000788,0.451919,0.010969,0.155003,0.175864
-4890,21744947.000000,0.027382,111893.000000,268.000000,0.000000,0.005427,0.001326,0.000000,0.000000,0.000000,60,0.968585,0.864827,0.000123,0.000201,0.529286,0.006470,0.429931,0.010989,0.168312,0.191013
-4880,22248761.000000,0.028065,110487.000000,268.000000,0.000000,0.005104,0.001400,0.000000,0.000000,0.000000,60,0.971251,0.871163,0.000122,0.000206,0.509837,0.000000,0.418684,0.011098,0.163355,0.199907
-4870,22809418.000000,0.028520,109330.000000,268.000000,0.763359,0.005145,0.001474,0.000000,0.000000,0.000000,60,0.975974,0.886201,0.000123,0.000197,0.496988,0.006573,0.409783,0.011184,0.176548,0.192795
-4860,23401789.000000,0.028822,108284.000000,268.000000,0.709220,0.004964,0.001768,0.000000,0.000000,0.000000,60,0.978362,0.898768,0.000118,0.000188,0.483275,0.000000,0.402916,0.011205,0.176028,0.187679
