year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,8049602.000000,0.000000,0.995850,0.000159,0.000009,0.000000,0.002066,0.025737,0.000003,0.000004,0.723701,0.672660,0.038465,0.025305,0.062570,0.056841,0.071949|0.316788|0.496846|0.076048|0.038437|0.000000,0.192621,0.291691,0.115811,0.127538,1.000000,1.000000,0.872462,56730.000000,177866.200000,0.038461,163.000000,547.300000,0.046259,0.857100,0.728750,0,0.000000,0.000000,0.000000,2,0,0,0,0,1,0.265219,0.773795,0.495607,0.734781,77212.344790,49697.572034,312883.886348,0.000000,0.000000,0.000000,99485.027950
-4950,9932360.000000,0.004212,0.931519,0.001967,0.000006,0.000000,0.001571,0.027486,0.000131,0.000203,0.793127,0.446545,0.078097,0.586165,0.120591,0.088182,0.041111|0.350385|0.531890|0.076451|0.040697|0.000000,0.167190,0.404910,0.107959,0.127972,0.793112,0.965579,0.872028,58317.000000,251294.800000,0.047229,176.000000,540.200000,0.044951,0.971400,0.735240,0,17.410051,0.000002,0.401362,84,0,0,6,0,34,0.289796,0.574804,0.525944,0.710204,310.889383,5176.815862,30575.302975,0.000000,0.000000,0.000000,6143018.248620
-4900,11327459.000000,0.002632,0.931150,0.002248,0.000006,0.000000,0.001638,0.026796,0.000253,0.000441,0.617118,0.366265,0.066383,0.561526,0.145304,0.098349,0.033451|0.362424|0.528051|0.072684|0.041268|0.000000,0.161376,0.459548,0.102229,0.125223,0.786037,0.975917,0.874777,65774.000000,292857.000000,0.061327,180.000000,526.000000,0.044512,0.903800,0.645800,0,71.682938,0.000014,0.183265,88,0,0,5,0,29,0.276038,0.558512,0.473883,0.723962,270.847573,5698.885903,32423.594775,0.000000,0.000000,0.000000,13820735.077330
-4850,12763644.000000,0.002390,0.942833,0.001488,0.000006,0.000000,0.000000,0.028626,0.000289,0.000710,0.457463,0.343085,0.032958,0.384337,0.164401,0.101269,0.028104|0.366691|0.529292|0.071382|0.042181|0.000000,0.161973,0.489945,0.102132,0.125603,0.806279,1.000000,0.874397,64575.000000,336040.600000,0.072451,179.000000,518.800000,0.044498,0.892800,0.644120,0,58.960876,0.000007,0.211080,95,0,0,2,0,29,0.274772,0.584014,0.415788,0.725229,374.167698,9849.531697,53113.531644,0.000000,0.000000,0.000000,20505222.217974
-4800,14147560.000000,0.002061,0.970752,0.000778,0.000005,0.000000,0.001403,0.029927,0.000305,0.000989,0.461749,0.357684,0.020797,0.228984,0.181251,0.099023,0.023441|0.370979|0.533902|0.069304|0.043253|0.000000,0.168059,0.508394,0.105763,0.126697,0.866382,1.000000,0.873303,48823.000000,373440.200000,0.078372,168.000000,490.000000,0.044455,0.877400,0.638060,0,430.119263,0.000048,0.174079,118,0,0,28,0,25,0.274828,0.588365,0.409891,0.725172,521.407211,10294.298404,53834.677722,0.000000,0.000000,0.000000,28901098.551218
-4750,15600820.000000,0.001958,0.974920,0.000650,0.000005,0.000000,0.001800,0.030655,0.000335,0.001285,0.452694,0.363447,0.030046,0.192881,0.195125,0.095877,0.019927|0.368551|0.539903|0.066567|0.043958|0.000000,0.175244,0.517541,0.107641,0.128838,0.905408,1.000000,0.871162,56247.500000,413630.500000,0.080730,171.000000,490.000000,0.044379,0.869900,0.650440,0,724.786865,0.000099,0.183702,99,0,0,6,0,36,0.274570,0.579142,0.409760,0.725429,702.807647,9935.377648,50998.492760,0.000000,0.000000,0.000000,39247437.103744
-4700,17330696.000000,0.002105,0.969899,0.000773,0.000004,0.000000,0.002622,0.031593,0.000369,0.001579,0.453276,0.360839,0.029520,0.275241,0.207762,0.094080,0.016962|0.364304|0.543420|0.063650|0.044865|0.000000,0.185328,0.517910,0.109809,0.131292,0.897466,1.000000,0.868708,53355.500000,462678.800000,0.082129,168.000000,490.000000,0.044303,0.878200,0.650760,0,2931.961182,0.000258,0.186722,134,0,0,12,0,43,0.280234,0.561853,0.411698,0.719766,591.359732,10108.505293,52088.945524,0.000000,0.000000,0.000000,48618696.610471
-4650,19236401.000000,0.002089,0.967849,0.001050,0.000004,0.000000,0.002723,0.032219,0.000406,0.001889,0.455160,0.361088,0.028759,0.329226,0.221018,0.092395,0.014698|0.360264|0.545512|0.062315|0.046362|0.000000,0.188130,0.518672,0.111910,0.133414,0.886885,1.000000,0.866586,51243.000000,471563.000000,0.095557,169.000000,490.000000,0.044156,0.872400,0.650600,0,3256.788574,0.000226,0.197055,136,0,0,6,0,22,0.281403,0.587031,0.412257,0.718597,568.963928,9757.763828,48364.349827,0.000000,0.000000,0.000000,59910968.948144
-4600,21189602.000000,0.001936,0.976755,0.000696,0.000004,0.000000,0.002669,0.033272,0.000445,0.002219,0.453061,0.362244,0.023328,0.252689,0.230061,0.089867,0.012905|0.351145|0.552409|0.061424|0.047836|0.000000,0.191674,0.523095,0.113937,0.135396,0.899638,1.000000,0.864604,47824.500000,503468.200000,0.107361,168.500000,487.700000,0.044098,0.874850,0.651880,0,4285.601562,0.000264,0.206763,150,0,0,6,0,30,0.284167,0.588345,0.409644,0.715833,846.819130,11340.974628,56820.316751,0.000000,0.000000,0.000000,68541866.680943
-4550,23319625.000000,0.001918,0.994402,0.000289,0.000004,0.000000,0.002428,0.034369,0.000462,0.002555,0.453118,0.365470,0.018466,0.100848,0.239890,0.090317,0.011329|0.350045|0.554962|0.061069|0.045477|0.000000,0.195865,0.527519,0.116644,0.137397,0.996977,1.000000,0.862603,43734.000000,571288.000000,0.115231,168.000000,485.400000,0.044017,0.876200,0.655500,0,4284.270508,0.000238,0.223943,160,0,0,3,0,42,0.287129,0.589720,0.410794,0.712871,1760.722611,12361.043419,63180.014816,0.000000,0.000000,0.000000,78315189.131070
