year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13362078.000000,0.000000,1.000000,0.000000,0.008546,0.000000,0.001658,0.026158,0.280110,0.280139,0.688271,0.638874,0.026461,0.000000,0.078297,0.072736,0.042061|0.381503|0.371800|0.107123|0.076303|0.021240,0.385991,0.317212,0.089519,0.113606,1.000000,1.000000,0.886394,108245.000000,302562.200000,0.028199,258.000000,838.200000,0.035329,0.818900,0.716500,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.242564,0.838787,0.741547,0.757436,112264.563428,129065.958521,754073.757633,0.000000,0.000000,0.000000,179487.254760
-4950,17328201.000000,0.002803,0.958875,0.001090,0.008612,0.000000,0.002873,0.023734,0.287438,0.290030,0.886379,0.823433,0.041125,0.000000,0.122613,0.098349,0.030576|0.383116|0.392853|0.110985|0.075581|0.019413,0.312250,0.434075,0.105114,0.133485,0.812229,1.000000,0.866515,126881.000000,429445.000000,0.031670,250.500000,833.500000,0.034278,0.989750,0.923650,0,40.503441,0.000004,2.980847,33,0,0.000356,5,0,14,0.285859,0.590328,0.829571,0.714141,772.245191,30932.085564,199689.724688,0.000000,0.000000,0.000000,10126435.797895
-4900,19872545.000000,0.002186,0.956609,0.001497,0.008516,0.000000,0.000000,0.024028,0.295979,0.301212,0.889785,0.781338,0.043391,0.000000,0.137441,0.104583,0.026788|0.382160|0.394590|0.111508|0.073600|0.019027,0.290834,0.468911,0.108200,0.137950,0.808129,1.000000,0.862050,134987.000000,494772.800000,0.034879,266.000000,778.600000,0.032674,0.992800,0.939320,0,50.438354,0.000009,1.487438,42,0,0.000431,26,0,5,0.291375,0.592704,0.832509,0.708625,978.641505,28577.833333,177360.235501,0.000000,0.000000,0.000000,28450477.674718
-4850,22363044.000000,0.002091,0.971707,0.000853,0.008358,0.000000,0.000857,0.024269,0.304588,0.313164,0.890634,0.845126,0.028293,0.000000,0.149629,0.104639,0.024365|0.383703|0.394513|0.113470|0.070921|0.018908,0.288703,0.481418,0.111411,0.142492,0.885747,1.000000,0.857508,142192.000000,576106.800000,0.036269,273.500000,766.300000,0.031818,0.991700,0.967630,0,841.188293,0.000072,0.285126,43,0,0.000316,28,0,9,0.296231,0.594896,0.835894,0.703769,1007.885701,23198.218695,142343.747139,0.000000,0.000000,0.000000,42322333.531243
-4800,25143918.000000,0.002087,0.985269,0.000314,0.008377,0.000000,0.000522,0.024550,0.313989,0.326292,0.890181,0.871409,0.014731,0.000000,0.159964,0.093013,0.023136|0.385914|0.394626|0.113407|0.068992|0.018799,0.286944,0.492251,0.113512,0.145202,0.926191,1.000000,0.854798,155193.500000,639563.900000,0.037000,310.500000,766.300000,0.030960,0.992900,0.973620,0,1131.655762,0.000071,0.303328,52,0,0.000185,0,0,6,0.301494,0.606594,0.837998,0.698506,1252.045218,34623.130435,215079.963044,0.000000,0.000000,0.000000,56254974.181185
-4750,28247057.000000,0.002083,0.991666,0.000331,0.008489,0.000000,0.000500,0.024811,0.323995,0.339963,0.892798,0.875801,0.008334,0.000000,0.169232,0.081611,0.022324|0.386010|0.395172|0.113999|0.068048|0.018689,0.286794,0.502488,0.116111,0.148663,0.975269,1.000000,0.851337,181334.500000,728348.500000,0.037461,324.500000,766.300000,0.030246,0.993000,0.976380,0,1399.522705,0.000069,0.291501,54,0,0.000118,0,0,3,0.307191,0.611819,0.839970,0.692809,1352.910099,21089.141564,127901.364253,0.000000,0.000000,0.000000,71930664.343160
-4700,31815181.000000,0.002095,0.990925,0.000197,0.008461,0.000000,0.000543,0.025053,0.334234,0.353874,0.893755,0.874416,0.009075,0.000000,0.176814,0.075208,0.021427|0.387614|0.395806|0.114168|0.066443|0.018599,0.291147,0.507239,0.118215,0.150476,0.975252,1.000000,0.849524,187749.000000,816426.200000,0.037719,328.000000,758.600000,0.029675,0.993500,0.976060,0,1827.489502,0.000074,0.263372,59,0,0.000144,5,0,7,0.308469,0.605467,0.840725,0.691531,1404.290981,18223.433988,109811.145067,0.000000,0.000000,0.000000,89635650.701118
-4650,35862630.000000,0.002099,0.987463,0.000423,0.008287,0.000000,0.000659,0.025339,0.344728,0.368191,0.892694,0.878512,0.012537,0.000000,0.183049,0.072905,0.021113|0.388150|0.395740|0.115048|0.064899|0.018527,0.288163,0.517348,0.120437,0.152207,0.954393,1.000000,0.847793,197293.000000,907707.400000,0.038399,328.000000,759.000000,0.029194,0.993800,0.976180,0,2117.120605,0.000080,0.191292,55,0,0.000225,0,0,7,0.310106,0.608948,0.841839,0.689894,1523.763008,13511.684668,75980.308869,0.000000,0.000000,0.000000,109461451.700271
-4600,40207167.000000,0.002290,0.986608,0.000287,0.008241,0.000000,0.000515,0.025624,0.355040,0.382799,0.893075,0.880958,0.013392,0.000000,0.188946,0.072287,0.020876|0.385424|0.398970|0.115497|0.063832|0.018466,0.286232,0.528932,0.122922,0.154281,0.960667,1.000000,0.845719,213579.000000,1031050.600000,0.040696,328.000000,764.200000,0.028703,0.994100,0.977160,0,2436.646973,0.000087,0.203547,65,0,0.000269,0,0,6,0.313931,0.621769,0.843123,0.686069,2553.151517,15625.860754,90883.132743,0.000000,0.000000,0.000000,131482165.339418
-4550,44871500.000000,0.002198,0.993088,0.000219,0.008374,0.000000,0.000434,0.025837,0.366456,0.397197,0.893359,0.880407,0.006912,0.000000,0.193664,0.071613,0.020643|0.385250|0.400631|0.116947|0.060859|0.018401,0.291668,0.531439,0.124816,0.156634,0.991824,1.000000,0.843366,237796.000000,1215740.000000,0.042693,344.000000,769.800000,0.028223,0.994100,0.976660,0,2610.724121,0.000091,0.209904,71,0,0.000155,0,0,11,0.315948,0.644274,0.844114,0.684052,3752.574676,25213.253059,152095.208750,0.000000,0.000000,0.000000,155614432.661189
-4500,49633193.000000,0.002019,0.999459,0.000017,0.008466,0.000000,0.000533,0.025988,0.377190,0.412385,0.893180,0.881619,0.000541,0.000000,0.198214,0.072399,0.020453|0.385107|0.404545|0.119411|0.054595|0.018346,0.292978,0.541446,0.126573,0.159032,1.000000,1.000000,0.840968,271444.000000,1329156.500000,0.048437,348.500000,773.400000,0.027769,0.993700,0.970290,0,2714.190918,0.000112,0.196031,89,0,0.000013,4,0,14,0.318352,0.641094,0.844674,0.681648,3674.368931,20287.211425,115373.904506,0.000000,0.000000,0.000000,182638366.427498
-4450,54722257.000000,0.001954,0.997485,0.000099,0.008385,0.000000,0.000495,0.026363,0.389964,0.427550,0.892434,0.878276,0.002515,0.000000,0.201135,0.072231,0.020185|0.383095|0.407543|0.122229|0.050871|0.018294,0.292187,0.551817,0.129130,0.161948,1.000000,1.000000,0.838052,284630.500000,1505466.500000,0.052702,349.500000,773.400000,0.027336,0.994600,0.972280,0,2367.205566,0.000099,0.197598,117,0,0.000069,0,0,7,0.323454,0.634958,0.845466,0.676546,2992.138375,20743.469089,118517.958765,0.000000,0.000000,0.000000,211329549.229162
-4400,60478215.000000,0.002002,0.988529,0.000333,0.008266,0.000000,0.000572,0.026855,0.400263,0.443520,0.892176,0.875646,0.011471,0.000000,0.205347,0.072905,0.019949|0.381008|0.408752|0.125318|0.048723|0.018250,0.296565,0.555279,0.131693,0.164569,0.957746,1.000000,0.835431,334534.000000,1676806.400000,0.055822,351.000000,780.000000,0.026973,0.993700,0.971920,0,2370.698486,0.000101,0.187986,99,1,0.000347,6,0,11,0.326010,0.614514,0.845403,0.673990,1887.976039,23754.433583,139631.280784,0.000000,0.000000,0.000000,242853084.910996
-4350,66290417.000000,0.001837,0.975938,0.000820,0.008364,0.000000,0.000529,0.027288,0.412306,0.459617,0.891862,0.880360,0.024062,0.000000,0.208155,0.073747,0.019790|0.376668|0.412415|0.130360|0.044491|0.018221,0.294911,0.567252,0.134610,0.166977,0.900959,1.000000,0.833023,320351.000000,1741324.800000,0.060760,351.000000,784.200000,0.026656,0.994800,0.976980,0,2465.796631,0.000105,0.183848,124,0,0.000798,0,0,10,0.328373,0.610022,0.847847,0.671627,1554.957935,27823.362218,163183.747341,0.000000,0.000000,0.000000,274817623.401406
-4300,72593991.000000,0.001818,0.988344,0.000287,0.008498,0.000000,0.000393,0.027941,0.424223,0.476353,0.893146,0.881227,0.011656,0.000000,0.210739,0.073130,0.019636|0.366927|0.419734|0.134414|0.042984|0.018192,0.297579,0.571290,0.137429,0.169267,0.944452,1.000000,0.830733,357124.000000,1828813.800000,0.062381,351.000000,790.200000,0.026407,0.994400,0.975540,0,2516.275879,0.000101,0.181553,129,0,0.000423,0,0,9,0.331446,0.617498,0.847719,0.668554,1675.920173,25822.870036,151169.266070,0.000000,0.000000,0.000000,307838159.893443
-4250,78896532.000000,0.001666,0.988477,0.000174,0.008471,0.000000,0.000504,0.028779,0.437074,0.493638,0.892520,0.877693,0.011523,0.000000,0.212761,0.071725,0.019502|0.352994|0.430014|0.138901|0.042001|0.018165,0.302374,0.574509,0.139851,0.171825,0.945425,1.000000,0.828175,335523.000000,2005557.800000,0.061381,351.000000,794.600000,0.026184,0.994600,0.974000,0,2558.281250,0.000099,0.179099,140,0,0.000455,0,0,22,0.333171,0.618361,0.850198,0.666829,2641.348482,28095.073634,166603.626870,0.000000,0.000000,0.000000,341301746.029881
-4200,86197313.000000,0.001772,0.978694,0.000750,0.008342,0.000000,0.000467,0.029550,0.450309,0.510650,0.892775,0.880156,0.021306,0.000000,0.214278,0.071388,0.019342|0.343513|0.437444|0.142610|0.040401|0.018134,0.304636,0.579354,0.141875,0.174068,0.906823,1.000000,0.825932,357690.000000,2073938.800000,0.060766,351.000000,794.600000,0.025978,0.994500,0.976040,0,2808.773438,0.000100,0.166629,147,0,0.000918,0,0,17,0.336775,0.608151,0.849336,0.663225,1818.063072,28135.761375,161051.064495,0.000000,0.000000,0.000000,375809681.777024
-4150,92108423.000000,0.001327,0.951759,0.001576,0.008352,0.000000,0.000574,0.030727,0.462423,0.528282,0.891981,0.877935,0.048241,0.000000,0.215345,0.072231,0.019224|0.321919|0.455694|0.147133|0.039229|0.018112,0.304620,0.584722,0.143477,0.176436,0.839479,1.000000,0.823564,383271.000000,2256990.400000,0.054964,351.000000,802.800000,0.025773,0.994100,0.973820,0,3102.193115,0.000097,0.158458,155,0,0.002222,0,0,25,0.339695,0.600246,0.851565,0.660305,907.874643,24915.501124,142704.737335,0.000000,0.000000,0.000000,411295344.635675
-4100,100851641.000000,0.001815,0.928335,0.002020,0.008491,0.000000,0.000364,0.031694,0.476474,0.545829,0.891688,0.877407,0.071665,0.000000,0.216637,0.071051,0.019125|0.311157|0.465954|0.150782|0.036151|0.018092,0.306137,0.590865,0.145417,0.178838,0.828465,0.950050,0.821162,449313.000000,2578025.000000,0.051224,351.000000,817.800000,0.025606,0.994400,0.976340,0,3460.793213,0.000103,0.150512,151,0,0.003614,0,0,20,0.342440,0.598567,0.853253,0.657560,503.369465,20417.595521,116083.169333,0.000000,0.000000,0.000000,447171879.360408
-4050,110035955.000000,0.001745,0.912651,0.002423,0.008542,0.000000,0.000468,0.032933,0.489350,0.563877,0.892180,0.878841,0.087349,0.000000,0.217704,0.070490,0.019037|0.296330|0.478462|0.155294|0.034171|0.018076,0.306680,0.597008,0.147726,0.180634,0.796563,0.954697,0.819366,548069.000000,2921897.200000,0.051950,351.000000,834.000000,0.025441,0.993900,0.976660,0,3751.166016,0.000119,0.148937,159,0,0.004806,0,0,21,0.345158,0.597485,0.855834,0.654842,634.983367,20904.386951,121194.953350,0.000000,0.000000,0.000000,483914994.169199
-4000,120095770.000000,0.001751,0.944530,0.001390,0.008419,0.000000,0.000315,0.034398,0.504255,0.580967,0.892813,0.884109,0.055470,0.000000,0.218771,0.070771,0.018952|0.279420|0.491854|0.159264|0.033705|0.018062,0.310627,0.598062,0.150230,0.183030,0.842189,1.000000,0.816970,579719.000000,3323552.000000,0.058997,351.000000,856.600000,0.025300,0.995100,0.976980,0,4938.447754,0.000130,0.144781,156,0,0.003331,0,0,21,0.347905,0.601689,0.853899,0.652095,1876.225170,25005.932321,147049.797842,0.000000,0.000000,0.000000,521000310.795772
-3950,130347687.000000,0.001640,0.955858,0.000957,0.008359,0.000000,0.000346,0.035875,0.518665,0.598281,0.892904,0.879531,0.044142,0.000000,0.222253,0.071388,0.018869|0.257715|0.507660|0.165151|0.033770|0.018043,0.312281,0.602210,0.152475,0.185440,0.877506,1.000000,0.814560,614671.000000,3647177.400000,0.064048,351.000000,876.000000,0.025119,0.994800,0.976580,0,7895.568359,0.000142,0.141084,167,0,0.002877,0,0,28,0.349663,0.601459,0.852692,0.650337,3506.421257,27605.961283,164930.470593,0.000000,0.000000,0.000000,558138503.212947
