year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13886062.000000,0.000000,1.000000,0.000000,0.001203,0.000000,0.001315,0.025445,0.000003,0.000004,0.714041,0.659050,0.026693,0.000000,0.068973,0.062402,0.004999|0.413429|0.515823|0.050999|0.014763|0.000000,0.349452,0.340247,0.112684,0.125318,1.000000,1.000000,0.874682,123435.000000,301224.500000,0.043847,265.000000,687.000000,0.035682,0.832800,0.694550,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.259249,0.847215,0.680077,0.740751,102073.771092,129593.721600,760718.385443,0.000000,0.000000,0.000000,230062.308521
-4950,18182453.000000,0.005406,0.962701,0.001289,0.001148,0.000000,0.000000,0.023189,0.000178,0.000229,0.809880,0.444841,0.039683,0.003705,0.100932,0.082790,0.002876|0.429156|0.514972|0.053634|0.013055|0.000000,0.309315,0.433280,0.101016,0.128693,0.872487,1.000000,0.871307,133803.000000,421178.400000,0.053099,257.000000,649.400000,0.035189,0.973100,0.731640,0,982.134338,0.000054,0.000000,38,0,0.000610,11,0,14,0.290799,0.577352,0.722432,0.709201,690.496332,31121.946581,192320.441109,0.000000,0.000000,0.000000,13343510.577738
-4900,21001336.000000,0.002887,0.966110,0.000881,0.001194,0.000000,0.000962,0.022873,0.000304,0.000503,0.635960,0.364838,0.007462,0.075847,0.113851,0.089306,0.002319|0.431675|0.512078|0.052901|0.012315|0.000000,0.281935,0.477254,0.103856,0.125573,0.892397,1.000000,0.874427,140537.000000,486544.000000,0.049134,258.000000,610.000000,0.034315,0.904600,0.642200,0,1697.577393,0.000116,0.374851,32,0,0.000000,9,0,5,0.276234,0.585788,0.654266,0.723766,865.902258,38985.202520,244030.290195,0.000000,0.000000,0.000000,29975412.204308
-4850,23732288.000000,0.002448,0.970863,0.000735,0.001187,0.000000,0.000000,0.023577,0.000389,0.000794,0.665847,0.349229,0.007079,0.060181,0.122669,0.090036,0.001814|0.430022|0.512567|0.052527|0.011939|0.000000,0.275938,0.496468,0.104591,0.131939,0.865433,1.000000,0.868061,129910.000000,524016.400000,0.063886,257.000000,608.000000,0.033839,0.913000,0.680800,0,1953.306519,0.000215,0.237763,52,0,0.000000,10,0,7,0.280104,0.590147,0.664983,0.719896,1012.098482,36616.322214,216210.353397,0.000000,0.000000,0.000000,49098925.907058
-4800,26529504.000000,0.002231,0.982802,0.000698,0.001194,0.000000,0.000000,0.024504,0.000372,0.001096,0.607308,0.380580,0.008479,0.053386,0.130476,0.085374,0.001495|0.431726|0.511265|0.052320|0.011764|0.000000,0.277303,0.505169,0.112727,0.133821,0.965847,1.000000,0.866179,120722.000000,571721.000000,0.075325,253.000000,538.500000,0.033059,0.908200,0.751950,0,2329.301025,0.000247,0.344702,58,0,0.000000,37,0,14,0.285917,0.593148,0.640076,0.714083,1309.019096,34623.031593,197423.929045,0.000000,0.000000,0.000000,79174200.635763
-4750,29426824.000000,0.002075,0.990938,0.000666,0.001185,0.000000,0.000975,0.025422,0.000459,0.001428,0.613959,0.394675,0.007329,0.052892,0.138564,0.079926,0.001214|0.427891|0.514189|0.052466|0.011741|0.000000,0.273045,0.519475,0.116925,0.138457,0.960030,1.000000,0.861544,109626.500000,618462.200000,0.082461,249.500000,515.400000,0.032716,0.915600,0.739050,0,4225.837402,0.000478,0.431440,73,0,0.000000,11,0,13,0.289333,0.604617,0.642972,0.710667,1288.061664,28026.943546,154982.940016,0.000000,0.000000,0.000000,101002485.628596
-4700,32314000.000000,0.001874,0.984595,0.001170,0.001194,0.000000,0.001306,0.026224,0.000511,0.001772,0.552063,0.395927,0.016244,0.053147,0.145810,0.076668,0.001010|0.424107|0.516646|0.053292|0.011909|0.000000,0.269329,0.530741,0.118999,0.141991,0.932640,1.000000,0.858009,115173.000000,708721.800000,0.087711,252.000000,509.600000,0.032269,0.906500,0.740560,0,4517.021973,0.000440,0.660145,100,1,0.000184,4,0,15,0.297455,0.596954,0.620240,0.702545,1165.831375,29218.736947,160792.088175,0.000000,0.000000,0.000000,123533147.764569
-4650,35760080.000000,0.002029,0.979304,0.001249,0.001208,0.000000,0.001621,0.026783,0.000675,0.002135,0.465456,0.394678,0.017690,0.053389,0.152718,0.075152,0.000853|0.423211|0.515904|0.053975|0.012148|0.000000,0.269044,0.537147,0.121454,0.144670,0.902796,1.000000,0.855330,126653.000000,759505.600000,0.089394,260.000000,509.600000,0.031676,0.907700,0.742300,0,4569.094238,0.000367,0.641489,80,0,0.000170,0,0,10,0.304727,0.608941,0.590805,0.695273,1446.009510,30688.528451,167036.397504,0.000000,0.000000,0.000000,147077753.794090
-4600,39219145.000000,0.001848,0.990515,0.000417,0.001209,0.000000,0.000000,0.027109,0.000596,0.002482,0.465675,0.396359,0.006945,0.034847,0.157268,0.076668,0.000756|0.413031|0.523859|0.055205|0.012421|0.000000,0.280821,0.535160,0.123627,0.147071,0.964770,1.000000,0.852929,113871.000000,928262.400000,0.083497,262.000000,496.400000,0.031233,0.917000,0.758180,0,4875.130859,0.000367,0.726661,93,1,0.000000,17,0,16,0.308459,0.607373,0.591608,0.691541,2139.696261,30410.178434,165770.209673,0.000000,0.000000,0.000000,173712899.128937
-4550,43149563.000000,0.001912,0.997725,0.000063,0.001196,0.000000,0.000939,0.027626,0.000603,0.002849,0.537291,0.401443,0.005791,0.005206,0.161537,0.077230,0.000647|0.409398|0.525982|0.056210|0.012673|0.000000,0.282664,0.539093,0.124418,0.149146,1.000000,1.000000,0.850854,92712.000000,999419.000000,0.084728,262.000000,488.000000,0.030785,0.915800,0.752900,0,4990.445312,0.000334,0.715780,110,0,0.000000,13,0,18,0.304227,0.627310,0.616589,0.695773,3681.729552,35955.498870,203291.274476,0.000000,0.000000,0.000000,205589897.390870
