year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13047781.000000,0.000000,1.000000,0.000000,0.008536,0.000000,0.000880,0.023574,0.280109,0.280134,0.693232,0.627392,0.026699,0.000000,0.085767,0.079420,0.025590|0.417390|0.361273|0.109318|0.068718|0.017857,0.397067,0.304508,0.090755,0.111689,1.000000,1.000000,0.888311,104945.500000,299137.800000,0.023488,249.500000,753.300000,0.034560,0.839800,0.687480,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.247202,0.842046,0.744309,0.752798,122208.012681,127023.369418,745689.046925,0.000000,0.000000,0.000000,126738.519222
-4950,17336846.000000,0.002925,0.962026,0.001344,0.008636,0.000000,0.000000,0.022629,0.286597,0.288490,0.828591,0.623291,0.037974,0.000000,0.106549,0.093799,0.021464|0.419920|0.366128|0.113616|0.069901|0.017857,0.326634,0.419456,0.099236,0.122785,0.864020,1.000000,0.877215,131782.500000,377240.800000,0.030421,260.500000,748.500000,0.032912,0.981650,0.808430,0,468.934204,0.000049,0.230404,46,0,0.000329,20,0,16,0.276611,0.579742,0.806278,0.723389,1035.295361,26804.959348,163109.443555,0.000000,0.000000,0.000000,7777993.423953
-4900,19782632.000000,0.002161,0.952066,0.001498,0.008536,0.000000,0.000000,0.022637,0.293138,0.299065,0.839754,0.433858,0.047934,0.000000,0.115985,0.094979,0.020345|0.420830|0.366206|0.113905|0.069224|0.017857,0.287692,0.479273,0.098388,0.126405,0.865983,1.000000,0.873595,132712.000000,399354.600000,0.037761,247.000000,717.600000,0.031622,0.970700,0.774080,0,900.604370,0.000110,0.634679,48,0,0.000474,49,0,9,0.276275,0.586762,0.815043,0.723726,996.657045,30527.057599,188351.426484,0.000000,0.000000,0.000000,18574470.848827
-4850,22111010.000000,0.002057,0.973561,0.001023,0.008393,0.000000,0.000000,0.022806,0.299553,0.310341,0.805962,0.413610,0.026439,0.000000,0.125702,0.094080,0.019664|0.418708|0.368635|0.114113|0.069351|0.017857,0.274399,0.503808,0.098419,0.130153,0.892046,1.000000,0.869847,117538.000000,465087.000000,0.042665,256.500000,714.000000,0.030521,0.969700,0.736750,0,1075.701904,0.000087,0.708380,54,0,0.000292,16,0,8,0.279436,0.590674,0.802676,0.720565,1195.181223,31300.658066,193831.091531,0.000000,0.000000,0.000000,28800114.385035
-4800,24687720.000000,0.002052,0.985640,0.000312,0.008422,0.000000,0.001097,0.022985,0.304581,0.322602,0.798627,0.403530,0.014360,0.000000,0.135026,0.084981,0.019096|0.417357|0.370600|0.113875|0.069666|0.017857,0.275236,0.512404,0.102252,0.135312,0.965258,1.000000,0.864688,125094.500000,523749.200000,0.045279,256.500000,724.800000,0.029725,0.966350,0.738020,0,1245.915527,0.000095,0.515726,59,0,0.000177,11,0,8,0.282801,0.605838,0.800441,0.717199,1393.323983,35321.822091,213210.330029,0.000000,0.000000,0.000000,40124501.991936
-4750,27494760.000000,0.002039,0.987369,0.000439,0.008543,0.000000,0.001408,0.023126,0.311473,0.335130,0.804728,0.391279,0.012631,0.000000,0.141092,0.073747,0.018775|0.417887|0.367522|0.115925|0.069276|0.017857,0.273430,0.520233,0.105772,0.138426,0.943717,1.000000,0.861574,139473.000000,625834.200000,0.047076,265.000000,726.600000,0.029080,0.964700,0.728380,0,1422.206543,0.000084,0.433178,63,0,0.000174,4,0,10,0.289671,0.614476,0.808931,0.710329,1566.814599,25158.273587,150149.574518,0.000000,0.000000,0.000000,53489823.005936
-4700,30532903.000000,0.002025,0.989649,0.000657,0.008531,0.000000,0.000000,0.023397,0.316714,0.347996,0.763248,0.398399,0.010351,0.000000,0.145529,0.068018,0.018435|0.420692|0.362782|0.117159|0.069759|0.017857,0.271776,0.526682,0.106869,0.140566,0.976563,1.000000,0.859434,131329.500000,665047.300000,0.048646,260.000000,637.200000,0.028495,0.966000,0.755110,0,1631.654419,0.000078,0.378586,63,0,0.000158,22,0,10,0.290637,0.609682,0.792249,0.709363,1485.789169,20510.435532,113411.544514,0.000000,0.000000,0.000000,69778104.904270
-4650,33849025.000000,0.002016,0.985314,0.000530,0.008384,0.000000,0.001564,0.023672,0.320694,0.361193,0.804536,0.409161,0.014686,0.000000,0.151595,0.066221,0.018280|0.424189|0.359424|0.117920|0.070690|0.017857,0.271571,0.533584,0.109818,0.144489,0.922679,1.000000,0.855511,135385.000000,711168.000000,0.050172,267.500000,609.000000,0.027918,0.961850,0.759550,0,1855.518311,0.000082,0.364666,75,1,0.000249,12,0,10,0.294826,0.610525,0.805461,0.705174,1410.545784,23869.632809,131898.709856,0.000000,0.000000,0.000000,87978816.397263
-4600,37657391.000000,0.002034,0.988743,0.000492,0.008341,0.000000,0.001411,0.023869,0.321583,0.374518,0.774605,0.406904,0.011257,0.000000,0.155078,0.067850,0.018184|0.425916|0.358976|0.115286|0.071167|0.017857,0.273463,0.534584,0.111102,0.147992,0.941225,1.000000,0.852008,138302.000000,813364.600000,0.051319,268.000000,632.400000,0.027447,0.952000,0.739320,0,2122.547852,0.000099,0.306077,72,0,0.000212,5,0,15,0.300042,0.623505,0.796070,0.699958,2130.757793,30928.093699,178247.845690,0.000000,0.000000,0.000000,105328966.459763
-4550,41692926.000000,0.002010,0.996051,0.000143,0.008478,0.000000,0.001084,0.024150,0.324260,0.388292,0.728291,0.410247,0.003949,0.000000,0.159122,0.068692,0.018099|0.426100|0.357265|0.115611|0.071373|0.017857,0.273609,0.536779,0.115948,0.151693,0.989516,1.000000,0.848307,94337.000000,932490.800000,0.052498,268.000000,664.400000,0.027002,0.957500,0.766380,0,2463.828125,0.000095,0.257377,88,0,0.000082,11,0,17,0.303303,0.649157,0.780789,0.696697,3466.907045,28940.097242,161494.740434,0.000000,0.000000,0.000000,124339120.702066
-4500,46333293.000000,0.002028,0.999099,0.000011,0.008543,0.000000,0.001274,0.024438,0.330735,0.402935,0.722463,0.413018,0.000901,0.000000,0.161761,0.068636,0.018056|0.425738|0.356515|0.115315|0.071589|0.017857,0.275533,0.537324,0.118252,0.153973,1.000000,1.000000,0.846027,120238.500000,976472.200000,0.053628,269.000000,686.400000,0.026575,0.935450,0.749550,0,2579.380859,0.000092,0.288818,94,0,0.000021,4,0,9,0.302123,0.637908,0.768480,0.697877,3566.363927,36279.426129,209702.534367,0.000000,0.000000,0.000000,145586952.796576
-4450,51277396.000000,0.002007,0.996833,0.000166,0.008420,0.000000,0.001609,0.024626,0.334932,0.417470,0.706143,0.400356,0.003167,0.000000,0.165019,0.068524,0.018028|0.423401|0.358296|0.114500|0.072230|0.017857,0.275535,0.540123,0.118821,0.156429,1.000000,1.000000,0.843571,113370.000000,1041763.500000,0.054974,253.500000,714.300000,0.026153,0.933600,0.755550,0,2434.334717,0.000094,0.326249,89,0,0.000081,9,0,14,0.304836,0.632855,0.764020,0.695164,2959.286800,31597.376152,175364.989209,0.000000,0.000000,0.000000,170274993.700359
-4400,55913213.000000,0.001933,0.996439,0.000188,0.008335,0.000000,0.001754,0.025040,0.335758,0.432268,0.752430,0.407072,0.003561,0.000000,0.167827,0.069591,0.018013|0.414783|0.364959|0.117548|0.070570|0.017857,0.282137,0.541786,0.119311,0.159357,0.999177,1.000000,0.840643,128242.000000,1161868.400000,0.054217,265.500000,718.800000,0.025768,0.948200,0.778250,0,2420.301758,0.000123,0.278534,119,0,0.000100,0,0,19,0.310862,0.613923,0.783142,0.689138,1613.838976,22282.500108,113085.315356,0.000000,0.000000,0.000000,195194055.206832
-4350,62012951.000000,0.002018,0.988881,0.000584,0.008382,0.000000,0.002394,0.025436,0.341828,0.447440,0.701473,0.408449,0.011119,0.000000,0.170411,0.070040,0.017996|0.411780|0.368831|0.117258|0.069460|0.017857,0.283430,0.544330,0.123904,0.163039,0.952497,1.000000,0.836961,161399.000000,1300587.400000,0.052321,267.000000,717.600000,0.025426,0.936100,0.778240,0,4298.297363,0.000165,0.262879,103,0,0.000345,6,0,9,0.311960,0.607164,0.770914,0.688040,1496.068702,29289.014038,157595.206074,0.000000,0.000000,0.000000,223021004.785846
-4300,67582553.000000,0.001930,0.988907,0.000539,0.008522,0.000000,0.001689,0.025931,0.344306,0.462529,0.692173,0.408016,0.011093,0.000000,0.171871,0.070602,0.018003|0.400068|0.378589|0.118923|0.069398|0.017857,0.284754,0.547306,0.123063,0.165934,0.957997,1.000000,0.834067,133589.500000,1504265.000000,0.051430,255.000000,729.100000,0.025408,0.926700,0.772520,0,11873.398438,0.000294,0.277358,120,0,0.000375,5,0,25,0.313143,0.608852,0.756027,0.686857,1578.205102,29448.676196,148621.650792,0.000000,0.000000,0.000000,251811131.565471
-4250,73374354.000000,0.001646,0.992154,0.000262,0.008501,0.000000,0.001710,0.026508,0.350837,0.475717,0.657195,0.413423,0.007846,0.000000,0.173163,0.071220,0.018020|0.389367|0.388452|0.121613|0.067273|0.017857,0.288169,0.552089,0.124809,0.170084,0.972643,1.000000,0.829916,148103.000000,1653818.600000,0.054004,267.000000,743.400000,0.025635,0.927300,0.765940,0,16876.158203,0.000340,0.312644,156,0,0.000288,6,0,24,0.317152,0.608879,0.744335,0.682848,2498.536373,29564.565245,152445.559765,0.000000,0.000000,0.000000,281496816.391261
-4200,79416251.000000,0.001584,0.988853,0.000366,0.008366,0.000000,0.001736,0.027008,0.352757,0.490641,0.650720,0.406699,0.011147,0.000000,0.174343,0.072456,0.018021|0.372381|0.399536|0.125955|0.068567|0.017857,0.288156,0.555680,0.126673,0.172313,0.957081,1.000000,0.827687,157684.000000,1619203.800000,0.055047,268.000000,748.600000,0.025853,0.923500,0.762780,0,16459.406250,0.000353,0.340696,157,0,0.000443,0,0,30,0.319557,0.606736,0.748507,0.680443,1656.477733,31764.369431,160593.769785,0.000000,0.000000,0.000000,311411463.610391
-4150,85999691.000000,0.001594,0.966873,0.001436,0.008377,0.000000,0.002299,0.027718,0.359057,0.505863,0.632392,0.408111,0.033127,0.000000,0.175916,0.073579,0.018019|0.359870|0.409979|0.129763|0.066633|0.017857,0.286947,0.566019,0.131742,0.177270,0.878867,1.000000,0.822730,153202.000000,1810338.000000,0.054498,283.500000,748.000000,0.025942,0.928700,0.770700,0,17262.386719,0.000307,0.310221,166,0,0.001424,5,0,23,0.323566,0.597164,0.737804,0.676434,843.744919,29921.607375,152723.370474,0.000000,0.000000,0.000000,352608391.860919
-4100,93126016.000000,0.001593,0.936998,0.002574,0.008520,0.000000,0.002365,0.028297,0.368417,0.521987,0.577036,0.408230,0.063002,0.000000,0.177432,0.074702,0.018026|0.346707|0.419254|0.135451|0.064637|0.017857,0.288931,0.569400,0.132881,0.179265,0.810386,0.999499,0.820735,183275.000000,1970838.000000,0.063653,268.000000,754.200000,0.025885,0.923200,0.775220,0,17408.167969,0.000316,0.305516,163,0,0.002934,4,0,34,0.325936,0.596492,0.714172,0.674064,572.522763,29860.785855,154931.910899,0.000000,0.000000,0.000000,385721503.216413
-4050,101787620.000000,0.001780,0.942408,0.001927,0.008566,0.000000,0.001769,0.029231,0.376452,0.538694,0.552949,0.413206,0.057592,0.000000,0.178050,0.074758,0.018022|0.335018|0.429127|0.140346|0.061380|0.017857,0.288971,0.577050,0.135589,0.181424,0.822647,0.995094,0.818576,183786.500000,2069104.300000,0.069389,261.500000,756.600000,0.025636,0.922950,0.776640,0,18466.419922,0.000327,0.351572,164,0,0.002931,4,0,22,0.329740,0.596338,0.702934,0.670260,521.685798,30776.572946,161046.581204,0.000000,0.000000,0.000000,419798707.770759
-4000,109583176.000000,0.001477,0.953555,0.001708,0.008479,0.000000,0.000000,0.030449,0.385557,0.555452,0.508976,0.410876,0.046445,0.000000,0.179229,0.074871,0.018023|0.314131|0.445228|0.145856|0.060616|0.017857,0.287590,0.584057,0.138186,0.188438,0.846896,1.000000,0.811562,210115.500000,2163371.500000,0.074888,249.500000,756.700000,0.025367,0.933900,0.784350,0,19293.789062,0.000346,0.305953,202,0,0.002545,5,0,36,0.332880,0.596473,0.695366,0.667120,1562.642558,33233.088042,177221.307296,0.000000,0.000000,0.000000,465990832.377174
-3950,117258555.000000,0.001355,0.962319,0.001530,0.008405,0.000000,0.001315,0.031909,0.396255,0.572983,0.547149,0.416408,0.037681,0.686970,0.180802,0.076163,0.018025|0.291421|0.464733|0.152781|0.058161|0.017857,0.282272,0.600475,0.137082,0.187512,0.865407,1.000000,0.812488,219730.000000,2280022.000000,0.080656,243.000000,756.000000,0.025126,0.926700,0.775100,0,19001.587891,0.000346,0.342560,200,0,0.002209,7,0,38,0.335238,0.599186,0.709101,0.664762,3086.280879,38705.462629,209779.412214,0.000000,0.000000,0.000000,510668746.307662
-3900,127058118.000000,0.001607,0.972497,0.000922,0.008509,0.000000,0.001832,0.033028,0.402392,0.589339,0.480565,0.413876,0.027503,0.682148,0.181420,0.077848,0.018019|0.273367|0.478611|0.159264|0.055606|0.017857,0.280691,0.610769,0.141213,0.192191,0.897042,1.000000,0.807809,249260.500000,2293583.700000,0.084415,238.500000,753.900000,0.024896,0.922600,0.774420,0,17793.595703,0.000344,0.388839,187,0,0.001747,3,0,26,0.337616,0.599916,0.687117,0.662384,3896.381630,37745.026157,208764.222473,0.000000,0.000000,0.000000,545694600.913299
-3850,138712609.000000,0.001757,0.972499,0.000801,0.008627,0.000000,0.001817,0.034644,0.406981,0.606946,0.492401,0.417629,0.027501,0.681699,0.182375,0.078353,0.018012|0.258432|0.489384|0.164981|0.053199|0.017857,0.284676,0.614190,0.142648,0.192630,0.890222,1.000000,0.807370,232251.500000,2530361.200000,0.091020,232.000000,753.000000,0.025146,0.920200,0.784730,0,19149.970703,0.000321,0.452266,196,0,0.001907,8,0,21,0.339350,0.599116,0.692724,0.660650,3446.824140,40035.564849,223268.426402,0.000000,0.000000,0.000000,586971737.455759
-3800,151690224.000000,0.001790,0.977491,0.000613,0.008549,0.000000,0.001523,0.036449,0.416447,0.623915,0.488768,0.420638,0.022509,0.679419,0.182936,0.077960,0.018018|0.243544|0.501165|0.171182|0.049698|0.017857,0.287147,0.619720,0.145246,0.194860,0.914637,1.000000,0.805141,207612.500000,2757272.100000,0.096656,232.000000,758.800000,0.025386,0.920550,0.787560,0,16803.806641,0.000275,0.434756,182,0,0.001707,0,0,29,0.342216,0.598307,0.685799,0.657784,5415.001733,43945.846293,248400.048147,0.000000,0.000000,0.000000,624663948.206879
-3750,164842378.000000,0.001664,0.980340,0.000553,0.008451,0.000000,0.001374,0.038348,0.423368,0.641592,0.487797,0.419156,0.019660,0.679198,0.183442,0.077118,0.018019|0.225215|0.514247|0.178250|0.047725|0.017857,0.287084,0.626417,0.146597,0.195077,0.924182,1.000000,0.804923,205634.000000,3003842.000000,0.097743,231.000000,770.600000,0.025528,0.925300,0.789760,0,18998.390625,0.000301,0.359703,208,1,0.001620,4,0,37,0.343108,0.601418,0.689513,0.656892,7191.155949,47020.577397,269179.509498,0.000000,0.000000,0.000000,668888802.248243
-3700,180380373.000000,0.001803,0.994917,0.000104,0.008496,0.000000,0.001102,0.041082,0.426547,0.659869,0.495625,0.422321,0.005083,0.678328,0.184172,0.076837,0.018016|0.208267|0.527039|0.184317|0.045644|0.017857,0.283056,0.636308,0.150023,0.195931,0.996823,1.000000,0.804069,191461.000000,3244095.600000,0.103448,218.000000,773.800000,0.025776,0.929100,0.791980,0,15220.275391,0.000240,0.374156,202,0,0.000458,6,0,42,0.346367,0.613954,0.690348,0.653633,11851.692687,54612.225469,319933.028809,0.000000,0.000000,0.000000,711430669.165414
-3650,197429540.000000,0.001808,0.995391,0.000094,0.008661,0.000000,0.001125,0.044333,0.433445,0.677131,0.484732,0.421512,0.004609,0.671895,0.185408,0.076837,0.018001|0.192520|0.540369|0.191106|0.041309|0.017857,0.286839,0.641326,0.154849,0.202253,0.999779,1.000000,0.797747,230399.000000,3452242.800000,0.112170,218.000000,777.800000,0.026052,0.920800,0.791520,0,20378.146484,0.000257,0.374177,214,0,0.000455,0,0,34,0.351568,0.614895,0.687350,0.648432,13912.678151,57687.860185,345151.448255,0.000000,0.000000,0.000000,753433009.622546
-3600,216243898.000000,0.001822,0.992666,0.000164,0.008681,0.000000,0.001902,0.048101,0.434913,0.695632,0.493251,0.422486,0.007334,0.669543,0.187711,0.077848,0.017990|0.175960|0.552856|0.196743|0.039792|0.017857,0.288924,0.646460,0.156692,0.204587,0.979900,1.000000,0.795413,260754.000000,3515985.600000,0.119591,218.000000,786.200000,0.026403,0.928500,0.798440,0,17545.503906,0.000236,0.433810,219,0,0.000793,0,0,43,0.353897,0.604881,0.687823,0.646103,8968.381975,58200.435752,344368.346765,0.000000,0.000000,0.000000,796896405.435583
-3550,238801279.000000,0.001986,0.987814,0.000268,0.008546,0.000000,0.001842,0.051342,0.442510,0.714428,0.485740,0.425156,0.012186,0.667378,0.189396,0.077735,0.017981|0.163157|0.562464|0.201774|0.037614|0.017857,0.286305,0.655281,0.158675,0.206742,0.956980,1.000000,0.793258,280697.000000,3564077.800000,0.124023,218.000000,798.800000,0.026603,0.920500,0.796320,0,19810.162109,0.000226,0.416340,205,0,0.001455,0,0,33,0.355676,0.602845,0.688115,0.644324,7310.556545,58233.760566,347752.105895,0.000000,0.000000,0.000000,840876567.721182
-3500,264088499.000000,0.002015,0.989300,0.000177,0.008527,0.000000,0.001428,0.054811,0.453791,0.733832,0.480056,0.423988,0.010700,0.665108,0.190519,0.077230,0.017974|0.148367|0.571578|0.207980|0.036915|0.017857,0.281954,0.663235,0.161554,0.209010,0.964679,1.000000,0.790990,289024.500000,3759180.000000,0.126843,217.500000,806.200000,0.026905,0.916650,0.795750,0,18357.671875,0.000211,0.413820,209,0,0.001413,4,0,26,0.356836,0.605532,0.686574,0.643164,7920.600659,63479.332054,380007.752382,0.000000,0.000000,0.000000,887337802.324230
-3450,292302867.000000,0.002032,0.989665,0.000186,0.008698,0.000000,0.001297,0.058889,0.457054,0.752911,0.481853,0.425589,0.010335,0.662494,0.190912,0.076893,0.017964|0.135260|0.581707|0.212561|0.035196|0.017857,0.282872,0.667492,0.164838,0.211630,0.958433,1.000000,0.788369,313411.500000,3805739.100000,0.129137,217.500000,814.800000,0.027219,0.919500,0.793420,0,18153.640625,0.000221,0.349461,236,0,0.001510,0,0,24,0.358209,0.604010,0.686232,0.641791,7979.541545,67149.394857,405851.340528,0.000000,0.000000,0.000000,934902758.432494
